Consolidated Bug ID,Source Bug ID,Source,Module,Route / Screen,Title,Description,Steps / Reproduction,Expected,Actual,Reported Severity,Consolidated Severity,Verification Status,Duplicate Status,Duplicate Cluster,Canonical Bug ID,Related Bugs,User Journey Impact,Downstream Impact,Technical Evidence,Technical Confidence,PRD Traceability,Recommended Next Action,Evidence Reference
CBR-PM-011,Bug 11,PM_VERIFIED_BUGS.csv,Sthapana — Education,/foundation/education,Google Drive link redirects to Pehchaan,Post-OAuth redirect target not observed during the single one-time Drive grant; reproducing requires unlink/relink of Google account. Retest on a fresh account or after unlink.,Not supplied; reproduce from the original PM report.,Expected behavior is the inverse of the reported defect: Google Drive link redirects to Pehchaan,Blocked — cannot test,Medium,P2,Blocked — cannot test,No duplicate identified in source,None assigned,PM-011,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Unconfirmed,PRD-M01,"Unblock the prerequisite, reproduce twice in an isolated test environment, then triage severity and ownership.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 11
CBR-PM-012,Bug 12,PM_VERIFIED_BUGS.csv,Sthapana — Education,/foundation/education,Education-loan toggle not saving to DB,Silent-field-loss family. Data-level proof: toggle ON -> null.,Toggle switched ON during Add by tester; saved record stores linkedLoanId: null (API) and loan indicator absent after save. | Consistent with report Bug 12 description and 06-06 evidence.,Expected behavior is the inverse of the reported defect: Education-loan toggle not saving to DB,Toggle switched ON during Add by tester; saved record stores linkedLoanId: null (API) and loan indicator absent after save. | Consistent with report Bug 12 description and 06-06 evidence.,Medium,P2,Confirmed,No duplicate identified in source,None assigned,PM-012,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,src/app/api/education/route.ts writes EDUCATION_LOAN_ACTIVE into linkedLoanId; no loan FK exists.,Confirmed,PRD-M01,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 12
CBR-PM-013,Bug 13,PM_VERIFIED_BUGS.csv,Sthapana — Education,/foundation/education,Doc doesn't move to new member's Drive folder on ownership change,"Folder-move behavior requires real Drive storage; NB-013 shows no files reach Drive on this account (no consent, no folder, fabricated URLs). Untestable until storage layer exists.",Not supplied; reproduce from the original PM report.,Expected behavior is the inverse of the reported defect: Doc doesn't move to new member's Drive folder on ownership change,Blocked — cannot test,Medium,P2,Blocked — cannot test,No duplicate identified in source,None assigned,PM-013,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Unconfirmed,PRD-M01,"Unblock the prerequisite, reproduce twice in an isolated test environment, then triage severity and ownership.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 13
CBR-PM-014,Bug 14,PM_VERIFIED_BUGS.csv,Sthapana — Education,/foundation/education,Education-loan toggle missing on edit page,Add/Edit field parity defect; compounds Bug 12 (even a persisted flag would be uneditable).,Tester opened edit form on existing qualification: NO Education Loan toggle present (Add form has it). | Matches report exactly; deterministic UI structure.,Expected behavior is the inverse of the reported defect: Education-loan toggle missing on edit page,Tester opened edit form on existing qualification: NO Education Loan toggle present (Add form has it). | Matches report exactly; deterministic UI structure.,Medium,P2,Confirmed,No duplicate identified in source,None assigned,PM-014,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,Education edit path must be compared with src/app/(dashboard)/foundation/education/[id]/edit/page.tsx.,Confirmed,PRD-M01,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 14
CBR-PM-015,Bug 15,PM_VERIFIED_BUGS.csv,Sthapana,/foundation,Foundation dashboard card UI inconsistent,"ROOT CAUSE (fix-ready): the header info-card has NO width constraint (no flex-1 / w-full; margin-right 0), so as a plain flex item it is CONTENT-SIZED — each module's card width floats with its description text length (790 vs 808 inside identical 872px rows). One-line fix: add flex-1 to the shared header-card component. This also explains Bug 31 AND why the 10-07 automation found 'no difference' (it measured the fixed-width 872px title ROW, not the card). Report says 'on the dashboard'; the element actually sits at the top of /foundation and matches the report screenshot exactly (back arrow + info icon + Profile/Family/Education chips). Human visual pass now optional — a deterministic DOM delta exists; screenshot captured for a reporter's-eye check anyway.","DOM measurement run 1 (fresh load in test tab, 1470px viewport / clientWidth 1464): Foundation header info-card = 790px wide (x 328->1118), p-4. Reference: Bhoomi header card, IDENTICAL full class string AND identical row composition (36px back button + 12px gap inside the same 872px header row) = 808px (x 328->1136). 18px width inconsistency between the two modules sharing the card recipe. | Run 2 (independent loads: Bhoomi measured in the already-open tester tab AND re-measured on a fresh load in the test tab; Foundation re-probed after a navigation round-trip): deterministic — 790 vs 808 again. Parent chains identical on both pages (header row 872px @ x280; content column 920px @ x256; margin-right 0 on both cards).",Expected behavior is the inverse of the reported defect: Foundation dashboard card UI inconsistent,"DOM measurement run 1 (fresh load in test tab, 1470px viewport / clientWidth 1464): Foundation header info-card = 790px wide (x 328->1118), p-4. Reference: Bhoomi header card, IDENTICAL full class string AND identical row composition (36px back button + 12px gap inside the same 872px header row) = 808px (x 328->1136). 18px width inconsistency between the two modules sharing the card recipe. | Run 2 (independent loads: Bhoomi measured in the already-open tester tab AND re-measured on a fresh load in the test tab; Foundation re-probed after a navigation round-trip): deterministic — 790 vs 808 again. Parent chains identical on both pages (header row 872px @ x280; content column 920px @ x256; margin-right 0 on both cards).",Low,P3,Confirmed,Canonical,MODULE-HEADER-CONSISTENCY,PM-015,Same root cause as Bug 31 (module header-card family) — one Jira ticket,No direct DA journey reference,"Header treatment diverges wider than widths: Raksha renders a plain H1 title row with NO info card at all — module header consistency spans two different patterns, not just card size.",PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M01,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 15
CBR-PM-016,Bug 16,PM_VERIFIED_BUGS.csv,Kunji,/dwaar/portals,Reveal Password button does nothing,"Created portal (HDFC test, encrypted mode, master-password vault set up) does not appear in the portal list (NB-016) — no portal can be opened, so Reveal Password is unreachable. Retest after NB-016 fix.",Not supplied; reproduce from the original PM report.,Expected behavior is the inverse of the reported defect: Reveal Password button does nothing,Blocked — cannot test,Medium,P2,Blocked — cannot test,No duplicate identified in source,None assigned,PM-016,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Unconfirmed,PRD-M03,"Unblock the prerequisite, reproduce twice in an isolated test environment, then triage severity and ownership.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 16
CBR-PM-017,Bug 17,PM_VERIFIED_BUGS.csv,Kunji,/dwaar/portals,Registration date accepts future dates,"Kunji route = /dwaar/portals; add form is 2-step (step1 category/platform/URL, step2 credentials + registration date). Reg date is optional per PRD 3.2.","Route /dwaar/portals/add, step 2: Registration Date set to 12/12/2030 (far future) by tester -> ACCEPTED, no validation message. | Consistent with report; single tester observation (P3 cosmetic-adjacent, low reproduction risk).",Expected behavior is the inverse of the reported defect: Registration date accepts future dates,"Route /dwaar/portals/add, step 2: Registration Date set to 12/12/2030 (far future) by tester -> ACCEPTED, no validation message. | Consistent with report; single tester observation (P3 cosmetic-adjacent, low reproduction risk).",Low,P3,Confirmed,Duplicate/related cluster member,DATE-VALIDATION,PM-019,None stated,No direct DA journey reference,DUP-5 date-validation class (this one is a PAST-only field accepting future — same family).,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M03,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 17
CBR-PM-018,Bug 18,PM_VERIFIED_BUGS.csv,Raksha,/raksha/policies,"Amount fields: stuck leading 0, no rupee symbol","SEVERITY NUANCE FINAL: leading-zero display variant is cosmetic at rest (API stored 1000000/12000 correctly, zeros stripped). Caret-at-start variant (tester-corroborated 10-07/11-07) produces value x10 which parses as legitimate and WOULD store wrong — the real data risk. Rupee in label only.",Typed 8000 into Premium Amount → field showed 80000 (default 0 merged at caret-start) — a plausible-looking 10x corruption of a financial amount. | Caret at end → 08000 (exact reported symptom). Select-all + Delete snaps field back to 0 — cannot be emptied.,"Expected behavior is the inverse of the reported defect: Amount fields: stuck leading 0, no rupee symbol",Typed 8000 into Premium Amount → field showed 80000 (default 0 merged at caret-start) — a plausible-looking 10x corruption of a financial amount. | Caret at end → 08000 (exact reported symptom). Select-all + Delete snaps field back to 0 — cannot be emptied.,Medium,P2,Confirmed,No duplicate identified in source,None assigned,PM-018,None stated,C - Insurance and nominee step 2 (Pass),"Rin amount fields implemented CORRECTLY (empty value + placeholder 0, rupee in labels) — defect is Raksha-specific; same widget class, inconsistent implementations.",PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M08,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 18
CBR-PM-019,Bug 19,PM_VERIFIED_BUGS.csv,Raksha,/raksha/policies,Next due date accepts past dates,"Attempt 1 keyboard, attempt 2 change-handler. Human corroboration 10-07: submit attempt was blocked ONLY by native required validation on Insurer Name — the past date raised nothing. Native validation exists on the form; dates are exempt.",Set Next Due Date = 01/01/2024 (2.5 yrs past) → accepted; NO validation message anywhere in form; 'SEAL SHIELD' save button remained enabled. | Fresh form: 2025-06-15 set via React change handler -> accepted; no validation message; tester visual corroboration on screen.,Expected behavior is the inverse of the reported defect: Next due date accepts past dates,Set Next Due Date = 01/01/2024 (2.5 yrs past) → accepted; NO validation message anywhere in form; 'SEAL SHIELD' save button remained enabled. | Fresh form: 2025-06-15 set via React change handler -> accepted; no validation message; tester visual corroboration on screen.,Medium,P2,Confirmed,Canonical,DATE-VALIDATION,PM-019,None stated,No direct DA journey reference,Same missing-date-validation class as Bugs 23/27/29/30/36 (see DUP-5 pattern).,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M08,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 19
CBR-PM-020,Bug 20,PM_VERIFIED_BUGS.csv,Raksha,/raksha/policies,Doc upload missing in Add form (present in Edit),"Full form human-scrolled 10-07: Policy Foundation, Financial Cover, Beneficiaries & Coverage (covered members, primary nominee, agent/contact) — no upload block anywhere. Nominee helper text confirms filter on Nominee Eligible flag (see NB-004).","Inspected /raksha/policies/add: no file input; zero upload/attach/document mentions (sections: Policy Foundation, Financial Cover, Beneficiaries & Coverage only). | Fresh-load re-inspection: hasFileInput=false, zero upload/attach/document mentions.",Expected behavior is the inverse of the reported defect: Doc upload missing in Add form (present in Edit),"Inspected /raksha/policies/add: no file input; zero upload/attach/document mentions (sections: Policy Foundation, Financial Cover, Beneficiaries & Coverage only). | Fresh-load re-inspection: hasFileInput=false, zero upload/attach/document mentions.",Low,P3,Confirmed,No duplicate identified in source,None assigned,PM-020,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M08,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 20
CBR-PM-021,Bug 21,PM_VERIFIED_BUGS.csv,Raksha,/raksha/policies,Uploaded doc -> Drive 'file not found',"DUP-1 family complete: 21+25 confirmed, 34 expected identical.","Tester uploaded doc to policy TEST-POL-1234; View -> same phantom Drive URL failure as Bug 25. | Root cause established (internal ID in Drive URL, DUP-1); occurred even AFTER Drive account was linked — Raksha view-URL bug independent of Drive state.",Expected behavior is the inverse of the reported defect: Uploaded doc -> Drive 'file not found',"Tester uploaded doc to policy TEST-POL-1234; View -> same phantom Drive URL failure as Bug 25. | Root cause established (internal ID in Drive URL, DUP-1); occurred even AFTER Drive account was linked — Raksha view-URL bug independent of Drive state.",Medium,P2,Confirmed,Duplicate/related cluster member,DOCUMENT-DRIVE-ID,NB-013,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,"Document handling spans FileUploader, local Vault, and Google Drive helpers; module document IDs are soft references.",Confirmed,PRD-M08,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 21
CBR-PM-022,Bug 22,PM_VERIFIED_BUGS.csv,Pravah,/khate/accounts (source route); reported /pravah,Multiple accounts can be marked primary,Core (no validation on multiple primaries) confirmed; badge absence adds possible flag-loss — verify at data layer when API route known.,"Tester created two accounts, checked Make this my primary on BOTH — no warning or validation appeared (reported defect confirmed). | Post-save list shows NO primary badge on either account — primary status either undisplayed or not persisted (silent-loss suspicion; account API route not discoverable to verify).",Expected behavior is the inverse of the reported defect: Multiple accounts can be marked primary,"Tester created two accounts, checked Make this my primary on BOTH — no warning or validation appeared (reported defect confirmed). | Post-save list shows NO primary badge on either account — primary status either undisplayed or not persisted (silent-loss suspicion; account API route not discoverable to verify).",Medium,P2,Confirmed,No duplicate identified in source,None assigned,PM-022,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M06,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 22
CBR-PM-023,Bug 23,PM_VERIFIED_BUGS.csv,Rin,/rin/loans,Loan start date accepts future dates,Method: programmatic value + change events (keyboard entry blocked by pre-filled field); optional human calendar-picker pass for completeness.,Start Date set to 2027-09-05 through React input/change handlers -> accepted; NO validation message; Create Loan Account stayed enabled. | 2028-01-15 -> identical result.,Expected behavior is the inverse of the reported defect: Loan start date accepts future dates,Start Date set to 2027-09-05 through React input/change handlers -> accepted; NO validation message; Create Loan Account stayed enabled. | 2028-01-15 -> identical result.,Medium,P2,Confirmed,Duplicate/related cluster member,DATE-VALIDATION,PM-019,None stated,No direct DA journey reference,Same missing-date-validation class as 19/27/29/30/36 (DUP-5).,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M09,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 23
CBR-PM-024,Bug 24,PM_VERIFIED_BUGS.csv,Rin,/rin/loans,Doc upload missing in Add form,Edit-page presence (other half of report) re-checkable once a loan exists.,Fresh Add Loan form: hasFileInput=false; zero upload/attach/document mentions. | Reload re-inspection: identical.,Expected behavior is the inverse of the reported defect: Doc upload missing in Add form,Fresh Add Loan form: hasFileInput=false; zero upload/attach/document mentions. | Reload re-inspection: identical.,Low,P3,Confirmed,No duplicate identified in source,None assigned,PM-024,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M09,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 24
