Requirement ID,Requirement / Feature,PRD Section,Expected Behaviour,Implementation Evidence,Route / Screen Evidence,File Evidence,Database Evidence,Status,Gap Description,Confidence,Technical Question,Recommended Next Action
PRD-M04-004,Rental,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.1 Income Types,"The application should offer Rental as a supported option and preserve that type through create, view, edit, and delete workflows.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Rental, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-005,Interest / Dividend,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.1 Income Types,"The application should offer Interest / Dividend as a supported option and preserve that type through create, view, edit, and delete workflows.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Interest / Dividend, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-006,Capital Gains,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.1 Income Types,"The application should offer Capital Gains as a supported option and preserve that type through create, view, edit, and delete workflows.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Capital Gains, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-007,Pension,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.1 Income Types,"The application should offer Pension as a supported option and preserve that type through create, view, edit, and delete workflows.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Pension, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-008,Other,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.1 Income Types,"The application should offer Other as a supported option and preserve that type through create, view, edit, and delete workflows.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Other, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-009,Source,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.2 Income Details,"The application should capture or support source, validate it, persist it to the authoritative store, and display it after save.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Source, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-010,Frequency,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.2 Income Details,"The application should capture or support frequency, validate it, persist it to the authoritative store, and display it after save.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Frequency, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-011,Gross income,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.2 Income Details,The application should calculate or present gross income from authoritative saved records with a defined refresh and ownership rule.,"KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Gross income, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-012,Deductions - divide,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.2 Income Details,"The application should capture or support deductions - divide, validate it, persist it to the authoritative store, and display it after save.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Deductions - divide, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-013,Net income,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.2 Income Details,The application should calculate or present net income from authoritative saved records with a defined refresh and ownership rule.,"KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Net income, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-014,Credited account,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.2 Income Details,"The application should capture or support credited account, validate it, persist it to the authoritative store, and display it after save.","KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Credited account, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-015,Monthly / yearly income,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.3 Income Analytics,The application should calculate or present monthly / yearly income from authoritative saved records with a defined refresh and ownership rule.,"KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Monthly / yearly income, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-016,Family income split,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.3 Income Analytics,The application should calculate or present family income split from authoritative saved records with a defined refresh and ownership rule.,"KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Family income split, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M04-017,Income dependency ratio,MODULE 4: INCOME MANAGEMENT SYSTEM (Kosh) > 4.3 Income Analytics,The application should calculate or present income dependency ratio from authoritative saved records with a defined refresh and ownership rule.,"KoshHub, AddIncomePage, analytics/dependency pages, and IncomeStore implement the configured experience; incomeService and /api/income form a separate server path. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD but no reminders; WD CRUD trace identifies parallel route/store families. Evidence authority remains source/database unless a live observation is explicitly stated.",/kosh/sources; /kosh/sources/add; /kosh/analytics; /kosh/dependency; /kosh/disposable; /api/income,src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx; src/lib/stores/incomeStore.ts; src/lib/services/incomeService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,"income_streams exists, but configured /kosh/sources/add uses browser IncomeStore; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv",Implemented Differently,Parallel browser-store and database service implementations can produce different source records and analytics.,Confirmed,"Which implementation is authoritative for Income dependency ratio, and how should WD resolve this mismatch: Parallel browser-store and database service implementations can produce different source records and analytics.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M05-001,Household,MODULE 5: COMPLETE EXPENSE MANAGEMENT SYSTEM (Vyaya) > 5.1 Expense Categories,"The application should offer Household as a supported option and preserve that type through create, view, edit, and delete workflows.","Vyaya pages, ExpenseStore, expenseService, category service, budget service, and notificationService cover entry, categorization, budgeting, and overspend logic. Supporting team evidence: PM inventory groups Vyaya with expense/leakage CRUD; DA10-006 reports a blocked future recurring-expense-to-reminder flow. Evidence authority remains source/database unless a live observation is explicitly stated.",/vyaya/entry; /vyaya/entry/add; /vyaya/budget; /vyaya/categories; /vyaya/analytics; /api/expenses; /api/budget; /api/expense-categories,src/app/(dashboard)/vyaya/entry/add/page.tsx; src/app/(dashboard)/vyaya/budget/page.tsx; src/lib/stores/expenseStore.ts; src/lib/services/expenseService.ts; src/lib/services/budgetService.ts; src/lib/services/notificationService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,expense_entries; expense_categories; budget_plans; configured and legacy pages use parallel stores/routes; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented Differently,Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.,Confirmed,"Which implementation is authoritative for Household, and how should WD resolve this mismatch: Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M05-002,Food,MODULE 5: COMPLETE EXPENSE MANAGEMENT SYSTEM (Vyaya) > 5.1 Expense Categories,"The application should offer Food as a supported option and preserve that type through create, view, edit, and delete workflows.","Vyaya pages, ExpenseStore, expenseService, category service, budget service, and notificationService cover entry, categorization, budgeting, and overspend logic. Supporting team evidence: PM inventory groups Vyaya with expense/leakage CRUD; DA10-006 reports a blocked future recurring-expense-to-reminder flow. Evidence authority remains source/database unless a live observation is explicitly stated.",/vyaya/entry; /vyaya/entry/add; /vyaya/budget; /vyaya/categories; /vyaya/analytics; /api/expenses; /api/budget; /api/expense-categories,src/app/(dashboard)/vyaya/entry/add/page.tsx; src/app/(dashboard)/vyaya/budget/page.tsx; src/lib/stores/expenseStore.ts; src/lib/services/expenseService.ts; src/lib/services/budgetService.ts; src/lib/services/notificationService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,expense_entries; expense_categories; budget_plans; configured and legacy pages use parallel stores/routes; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented Differently,Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.,Confirmed,"Which implementation is authoritative for Food, and how should WD resolve this mismatch: Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M05-003,Rent / EMI,MODULE 5: COMPLETE EXPENSE MANAGEMENT SYSTEM (Vyaya) > 5.1 Expense Categories,"The application should offer Rent / EMI as a supported option and preserve that type through create, view, edit, and delete workflows.","Vyaya pages, ExpenseStore, expenseService, category service, budget service, and notificationService cover entry, categorization, budgeting, and overspend logic. Supporting team evidence: PM inventory groups Vyaya with expense/leakage CRUD; DA10-006 reports a blocked future recurring-expense-to-reminder flow. Evidence authority remains source/database unless a live observation is explicitly stated.",/vyaya/entry; /vyaya/entry/add; /vyaya/budget; /vyaya/categories; /vyaya/analytics; /api/expenses; /api/budget; /api/expense-categories,src/app/(dashboard)/vyaya/entry/add/page.tsx; src/app/(dashboard)/vyaya/budget/page.tsx; src/lib/stores/expenseStore.ts; src/lib/services/expenseService.ts; src/lib/services/budgetService.ts; src/lib/services/notificationService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,expense_entries; expense_categories; budget_plans; configured and legacy pages use parallel stores/routes; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented Differently,Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.,Confirmed,"Which implementation is authoritative for Rent / EMI, and how should WD resolve this mismatch: Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M05-004,Utilities,MODULE 5: COMPLETE EXPENSE MANAGEMENT SYSTEM (Vyaya) > 5.1 Expense Categories,"The application should offer Utilities as a supported option and preserve that type through create, view, edit, and delete workflows.","Vyaya pages, ExpenseStore, expenseService, category service, budget service, and notificationService cover entry, categorization, budgeting, and overspend logic. Supporting team evidence: PM inventory groups Vyaya with expense/leakage CRUD; DA10-006 reports a blocked future recurring-expense-to-reminder flow. Evidence authority remains source/database unless a live observation is explicitly stated.",/vyaya/entry; /vyaya/entry/add; /vyaya/budget; /vyaya/categories; /vyaya/analytics; /api/expenses; /api/budget; /api/expense-categories,src/app/(dashboard)/vyaya/entry/add/page.tsx; src/app/(dashboard)/vyaya/budget/page.tsx; src/lib/stores/expenseStore.ts; src/lib/services/expenseService.ts; src/lib/services/budgetService.ts; src/lib/services/notificationService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,expense_entries; expense_categories; budget_plans; configured and legacy pages use parallel stores/routes; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented Differently,Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.,Confirmed,"Which implementation is authoritative for Utilities, and how should WD resolve this mismatch: Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M05-005,Education,MODULE 5: COMPLETE EXPENSE MANAGEMENT SYSTEM (Vyaya) > 5.1 Expense Categories,"The application should offer Education as a supported option and preserve that type through create, view, edit, and delete workflows.","Vyaya pages, ExpenseStore, expenseService, category service, budget service, and notificationService cover entry, categorization, budgeting, and overspend logic. Supporting team evidence: PM inventory groups Vyaya with expense/leakage CRUD; DA10-006 reports a blocked future recurring-expense-to-reminder flow. Evidence authority remains source/database unless a live observation is explicitly stated.",/vyaya/entry; /vyaya/entry/add; /vyaya/budget; /vyaya/categories; /vyaya/analytics; /api/expenses; /api/budget; /api/expense-categories,src/app/(dashboard)/vyaya/entry/add/page.tsx; src/app/(dashboard)/vyaya/budget/page.tsx; src/lib/stores/expenseStore.ts; src/lib/services/expenseService.ts; src/lib/services/budgetService.ts; src/lib/services/notificationService.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,expense_entries; expense_categories; budget_plans; configured and legacy pages use parallel stores/routes; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented Differently,Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.,Confirmed,"Which implementation is authoritative for Education, and how should WD resolve this mismatch: Duplicate configured/legacy store and route families prevent one clearly authoritative expense path.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
