Table ID,Table Name,Table Schema,Purpose,Columns Count,Primary Key Column,Foreign Key Columns,Actual FK Targets,Reverse References,Datatype Summary,Nullable/Required Fields,Associated Module,Parent Module,RLS Status,RLS Enabled,Triggers,Functions,Views,Storage Links,Important Columns,Code Evidence,Duplicate/Overlap Tables,Data Risk,Technical Confirmation,Verification Status,Reviewer Name,Review Date,Evidence Reference,Notes,Action Needed
TBL-017,credential_records,public,Database table storing credential records data.,18,id,userId,userId->users(id),None,"timestamp without time zone, date, boolean, text",7 Required / 11 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (credential_records),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for credential_records, Table_Columns.csv (18 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-018,daily_analytics,public,Database table storing daily analytics data.,12,id,None,None,None,"double precision, text, date, integer, timestamp without time zone",11 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (daily_analytics),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for daily_analytics, Table_Columns.csv (12 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-019,data_access_logs,public,Database table storing data access logs data.,8,id,adminUserId; userId,adminUserId->admin_users(id); userId->users(id),None,"timestamp without time zone, text",7 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (data_access_logs),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for data_access_logs, Table_Columns.csv (8 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-020,din_records,public,Database table storing din records data.,15,id,userId,userId->users(id),None,"timestamp without time zone, date, text",6 Required / 9 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (din_records),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for din_records, Table_Columns.csv (15 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-021,document_meta,public,Database table storing document meta data.,19,id,userId,userId->users(id),None,"boolean, text, date, timestamp without time zone, jsonb",7 Required / 12 Nullable,VAULT (Documents),VAULT,Disabled (Gapped),false,None,None,None,user_documents_bucket,"id, userId",src/app/api/... or prisma/schema.prisma (document_meta),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for document_meta, Table_Columns.csv (19 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-022,education,public,Database table storing education data.,10,id,familyMemberId; userId,familyMemberId->family_members(id); userId->users(id),None,"timestamp without time zone, integer, text",5 Required / 5 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (education),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for education, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-023,email_verification_codes,public,Database table storing email verification codes data.,6,id,userId,userId->users(id),None,"timestamp without time zone, text",6 Required / 0 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (email_verification_codes),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for email_verification_codes, Table_Columns.csv (6 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-024,expense_categories,public,Database table storing expense categories data.,6,id,userId,userId->users(id),None,"timestamp without time zone, boolean, text",5 Required / 1 Nullable,VYAYA (Expenses),EXPENSES,Disabled (Gapped),false,None,None,None,None,"id, userId, name",src/app/api/... or prisma/schema.prisma (expense_categories),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for expense_categories, Table_Columns.csv (6 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-025,expense_entries,public,Database table storing expense entries data.,13,id,userId,userId->users(id),None,"boolean, double precision, text, date, timestamp without time zone",7 Required / 6 Nullable,VYAYA (Expenses),EXPENSES,Disabled (Gapped),false,None,None,None,None,"id, userId, amount",src/app/api/... or prisma/schema.prisma (expense_entries),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for expense_entries, Table_Columns.csv (13 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-026,family_members,public,Database table storing family members data.,12,id,userId,userId->users(id),education(familyMemberId); income_streams(familyMemberId); insurance_coverage(memberId); nominee_mapping(nomineeId); succession_nominees(nomineeId),"timestamp without time zone, date, boolean, text",9 Required / 3 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, name",src/app/api/... or prisma/schema.prisma (family_members),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for family_members, Table_Columns.csv (12 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-027,faqs,public,Database table storing faqs data.,13,id,None,None,None,"timestamp without time zone, boolean, integer, text",12 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (faqs),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for faqs, Table_Columns.csv (13 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-028,feature_flags,public,Database table storing feature flags data.,14,id,createdBy; dependsOnFlagId,createdBy->admin_users(id); dependsOnFlagId->feature_flags(id),feature_flags(dependsOnFlagId),"timestamp without time zone, boolean, text, jsonb",6 Required / 8 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, name",src/app/api/... or prisma/schema.prisma (feature_flags),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for feature_flags, Table_Columns.csv (14 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-029,field_mappings,public,Database table storing field mappings data.,7,id,None,None,questions(fieldMappingId),"timestamp without time zone, text, jsonb",5 Required / 2 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (field_mappings),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for field_mappings, Table_Columns.csv (7 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-030,game_runs,public,Database table storing game runs data.,9,id,userId,userId->users(id),None,"timestamp without time zone, integer, text",8 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (game_runs),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for game_runs, Table_Columns.csv (9 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-031,gamification_state,public,Database table storing gamification state data.,10,id,userId,userId->users(id),None,"text, date, integer, timestamp without time zone, jsonb",8 Required / 2 Nullable,SYSTEM/GAMIFICATION,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (gamification_state),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for gamification_state, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-032,goals,public,Database table storing goals data.,11,id,userId,userId->users(id),investment_holdings(linkedGoalId),"timestamp without time zone, date, double precision, text",10 Required / 1 Nullable,LAKSHYA (Goals),GOALS,Disabled (Gapped),false,None,None,None,None,"id, userId, name, status",src/app/api/... or prisma/schema.prisma (goals),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for goals, Table_Columns.csv (11 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-033,gst_records,public,Database table storing gst records data.,16,id,userId,userId->users(id),None,"timestamp without time zone, date, boolean, text",6 Required / 10 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (gst_records),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for gst_records, Table_Columns.csv (16 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-034,identity_links,public,Database table storing identity links data.,7,id,identityId; userId,identityId->identity_records(id); userId->users(id),None,"timestamp without time zone, text",6 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (identity_links),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for identity_links, Table_Columns.csv (7 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-035,identity_records,public,Database table storing identity records data.,14,id,userId,userId->users(id),identity_links(identityId),"timestamp without time zone, date, text",6 Required / 8 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (identity_records),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for identity_records, Table_Columns.csv (14 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-036,iks_assets,public,Database table storing iks assets data.,10,id,None,None,None,"boolean, text, integer, timestamp without time zone, USER-DEFINED",8 Required / 2 Nullable,SAMPATTI (Assets),ASSETS,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (iks_assets),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for iks_assets, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-037,income_streams,public,Database table storing income streams data.,21,id,creditedAccountId; familyMemberId; userId,creditedAccountId->bank_accounts(id); familyMemberId->family_members(id); userId->users(id),None,"boolean, double precision, text, integer, timestamp without time zone, jsonb",10 Required / 11 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, type",src/app/api/... or prisma/schema.prisma (income_streams),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for income_streams, Table_Columns.csv (21 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-038,insurance_coverage,public,Database table storing insurance coverage data.,3,id,memberId; policyId,memberId->family_members(id); policyId->insurance_policies(id),None,text,3 Required / 0 Nullable,BIMAN (Insurance),INSURANCE,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (insurance_coverage),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for insurance_coverage, Table_Columns.csv (3 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-039,insurance_policies,public,Database table storing insurance policies data.,17,id,userId,userId->users(id),insurance_coverage(policyId),"timestamp without time zone, date, double precision, text",11 Required / 6 Nullable,BIMAN (Insurance),INSURANCE,Disabled (Gapped),false,None,None,None,None,"id, userId, type, status",src/app/api/... or prisma/schema.prisma (insurance_policies),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for insurance_policies, Table_Columns.csv (17 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-040,investment_holdings,public,Database table storing investment holdings data.,12,id,linkedGoalId; userId,linkedGoalId->goals(id); userId->users(id),None,"double precision, text, date, integer, timestamp without time zone",6 Required / 6 Nullable,NIVESH (Investments),INVESTMENTS,Disabled (Gapped),false,None,None,None,None,"id, userId, type, name",src/app/api/... or prisma/schema.prisma (investment_holdings),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for investment_holdings, Table_Columns.csv (12 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-041,loan_accounts,public,Database table storing loan accounts data.,18,id,userId,userId->users(id),None,"double precision, text, date, integer, timestamp without time zone",12 Required / 6 Nullable,RINN (Debts),DEBTS,Disabled (Gapped),false,None,None,None,None,"id, userId, type, status",src/app/api/... or prisma/schema.prisma (loan_accounts),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for loan_accounts, Table_Columns.csv (18 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-042,module_access_permissions,public,Database table storing module access permissions data.,6,id,adminUserId,adminUserId->admin_users(id),None,"timestamp without time zone, boolean, text",5 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (module_access_permissions),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for module_access_permissions, Table_Columns.csv (6 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-043,modules,public,Database table storing modules data.,14,id,updatedBy,updatedBy->admin_users(id),submodules(moduleId); user_module_progress(moduleId),"boolean, text, integer, timestamp without time zone, USER-DEFINED",9 Required / 5 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, name",src/app/api/... or prisma/schema.prisma (modules),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for modules, Table_Columns.csv (14 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-044,monthly_analytics,public,Database table storing monthly analytics data.,9,id,None,None,None,"double precision, text, date, integer, timestamp without time zone",4 Required / 5 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (monthly_analytics),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for monthly_analytics, Table_Columns.csv (9 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-045,nominee_mapping,public,Database table storing nominee mapping data.,10,id,nomineeId; userId,nomineeId->family_members(id); userId->users(id),None,"timestamp without time zone, boolean, double precision, text",10 Required / 0 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (nominee_mapping),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for nominee_mapping, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-046,notification_templates,public,Database table storing notification templates data.,11,id,None,None,notifications(templateId),"timestamp without time zone, USER-DEFINED, text, jsonb",9 Required / 2 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, name",src/app/api/... or prisma/schema.prisma (notification_templates),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for notification_templates, Table_Columns.csv (11 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-047,notifications,public,Database table storing notifications data.,13,id,templateId; userId,templateId->notification_templates(id); userId->users(id),None,"timestamp without time zone, USER-DEFINED, text",6 Required / 7 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (notifications),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for notifications, Table_Columns.csv (13 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-048,property_assets,public,Database table storing property assets data.,19,id,userId,userId->users(id),None,"double precision, text, date, integer, timestamp without time zone, jsonb",7 Required / 12 Nullable,SAMPATTI (Assets),ASSETS,Disabled (Gapped),false,None,None,None,None,"id, userId, type",src/app/api/... or prisma/schema.prisma (property_assets),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for property_assets, Table_Columns.csv (19 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-049,questions,public,Database table storing questions data.,17,id,createdBy; fieldMappingId; submoduleId,createdBy->admin_users(id); fieldMappingId->field_mappings(id); submoduleId->submodules(id),quiz_answers(questionId),"boolean, text, integer, timestamp without time zone, USER-DEFINED, jsonb",13 Required / 4 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (questions),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for questions, Table_Columns.csv (17 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
