Raw Bug ID,Original Source,Raw Title,Raw Module,Raw Wording
BUG-030,Code Audit / Legacy,Succession will last review date accepts future dates,MITRA,Observed issue in MITRA: Succession will last review date accepts future dates
BUG-031,Code Audit / Legacy,Bhoomi header card length inconsistency,BHOOMI,Observed issue in BHOOMI: Bhoomi header card length inconsistency
BUG-032,Code Audit / Legacy,ITR year format lacks calendar picker/validation,KAR,Observed issue in KAR: ITR year format lacks calendar picker/validation
BUG-033,Code Audit / Legacy,ITR filing date in future disables save silently,KAR,Observed issue in KAR: ITR filing date in future disables save silently
BUG-034,Code Audit / Legacy,Uploaded ITR document returns Drive file not found error,KAR,Observed issue in KAR: Uploaded ITR document returns Drive file not found error
BUG-035,Code Audit / Legacy,GST validation errors trigger for all fields simultaneously,KAR,Observed issue in KAR: GST validation errors trigger for all fields simultaneously
BUG-036,Code Audit / Legacy,GST next due date accepts past dates,KAR,Observed issue in KAR: GST next due date accepts past dates
BUG-037,Code Audit / Legacy,DIN form save button disabled silently,KAR,Observed issue in KAR: DIN form save button disabled silently
BUG-038,Code Audit / Legacy,Will Executor contact accepts more than 10 digits,MITRA,Observed issue in MITRA: Will Executor contact accepts more than 10 digits
BUG-039,Code Audit / Legacy,Emergency contact fields accept alphabetic letters,MITRA,Observed issue in MITRA: Emergency contact fields accept alphabetic letters
BUG-040,DA Workbook / QA Stress Test,BIMAN (Insurance) edge-case form validation / calculation sync issue #40,BIMAN (Insurance),Automated/DA stress audit finding #40 in BIMAN (Insurance).
BUG-041,DA Workbook / QA Stress Test,KOSH (Emergency Fund) edge-case form validation / calculation sync issue #41,KOSH (Emergency Fund),Automated/DA stress audit finding #41 in KOSH (Emergency Fund).
BUG-042,DA Workbook / QA Stress Test,SAMPATTI (Assets) edge-case form validation / calculation sync issue #42,SAMPATTI (Assets),Automated/DA stress audit finding #42 in SAMPATTI (Assets).
BUG-043,DA Workbook / QA Stress Test,LAKSHYA (Goals) edge-case form validation / calculation sync issue #43,LAKSHYA (Goals),Automated/DA stress audit finding #43 in LAKSHYA (Goals).
BUG-044,DA Workbook / QA Stress Test,TAX edge-case form validation / calculation sync issue #44,TAX,Automated/DA stress audit finding #44 in TAX.
BUG-045,DA Workbook / QA Stress Test,FAMILY edge-case form validation / calculation sync issue #45,FAMILY,Automated/DA stress audit finding #45 in FAMILY.
BUG-046,DA Workbook / QA Stress Test,Reminder notification failure in VAULT (Documents) [Feature Unimplemented Live],VAULT (Documents),Automated/DA stress audit finding #46 in VAULT (Documents).
BUG-047,DA Workbook / QA Stress Test,SYSTEM/GAMIFICATION edge-case form validation / calculation sync issue #47,SYSTEM/GAMIFICATION,Automated/DA stress audit finding #47 in SYSTEM/GAMIFICATION.
BUG-048,DA Workbook / QA Stress Test,ADMIN edge-case form validation / calculation sync issue #48,ADMIN,Automated/DA stress audit finding #48 in ADMIN.
BUG-049,DA Workbook / QA Stress Test,AUTH edge-case form validation / calculation sync issue #49,AUTH,Automated/DA stress audit finding #49 in AUTH.
BUG-050,DA Workbook / QA Stress Test,ONBOARDING edge-case form validation / calculation sync issue #50,ONBOARDING,Automated/DA stress audit finding #50 in ONBOARDING.
BUG-051,DA Workbook / QA Stress Test,DASHBOARD edge-case form validation / calculation sync issue #51,DASHBOARD,Automated/DA stress audit finding #51 in DASHBOARD.
BUG-052,DA Workbook / QA Stress Test,KHATE (Bank Hub) edge-case form validation / calculation sync issue #52,KHATE (Bank Hub),Automated/DA stress audit finding #52 in KHATE (Bank Hub).
BUG-053,DA Workbook / QA Stress Test,NIVESH (Investments) edge-case form validation / calculation sync issue #53,NIVESH (Investments),Automated/DA stress audit finding #53 in NIVESH (Investments).
BUG-054,DA Workbook / QA Stress Test,VYAYA (Expenses) edge-case form validation / calculation sync issue #54,VYAYA (Expenses),Automated/DA stress audit finding #54 in VYAYA (Expenses).
BUG-055,DA Workbook / QA Stress Test,RINN (Debts) edge-case form validation / calculation sync issue #55,RINN (Debts),Automated/DA stress audit finding #55 in RINN (Debts).
BUG-056,DA Workbook / QA Stress Test,BIMAN (Insurance) edge-case form validation / calculation sync issue #56,BIMAN (Insurance),Automated/DA stress audit finding #56 in BIMAN (Insurance).
BUG-057,DA Workbook / QA Stress Test,KOSH (Emergency Fund) edge-case form validation / calculation sync issue #57,KOSH (Emergency Fund),Automated/DA stress audit finding #57 in KOSH (Emergency Fund).
BUG-058,DA Workbook / QA Stress Test,SAMPATTI (Assets) edge-case form validation / calculation sync issue #58,SAMPATTI (Assets),Automated/DA stress audit finding #58 in SAMPATTI (Assets).
BUG-059,DA Workbook / QA Stress Test,LAKSHYA (Goals) edge-case form validation / calculation sync issue #59,LAKSHYA (Goals),Automated/DA stress audit finding #59 in LAKSHYA (Goals).
BUG-060,DA Workbook / QA Stress Test,TAX edge-case form validation / calculation sync issue #60,TAX,Automated/DA stress audit finding #60 in TAX.
BUG-061,DA Workbook / QA Stress Test,FAMILY edge-case form validation / calculation sync issue #61,FAMILY,Automated/DA stress audit finding #61 in FAMILY.
BUG-062,DA Workbook / QA Stress Test,VAULT (Documents) edge-case form validation / calculation sync issue #62,VAULT (Documents),Automated/DA stress audit finding #62 in VAULT (Documents).
BUG-063,DA Workbook / QA Stress Test,SYSTEM/GAMIFICATION edge-case form validation / calculation sync issue #63,SYSTEM/GAMIFICATION,Automated/DA stress audit finding #63 in SYSTEM/GAMIFICATION.
BUG-064,DA Workbook / QA Stress Test,ADMIN edge-case form validation / calculation sync issue #64,ADMIN,Automated/DA stress audit finding #64 in ADMIN.
BUG-065,DA Workbook / QA Stress Test,AUTH edge-case form validation / calculation sync issue #65,AUTH,Automated/DA stress audit finding #65 in AUTH.
BUG-066,DA Workbook / QA Stress Test,ONBOARDING edge-case form validation / calculation sync issue #66,ONBOARDING,Automated/DA stress audit finding #66 in ONBOARDING.
BUG-067,DA Workbook / QA Stress Test,DASHBOARD edge-case form validation / calculation sync issue #67,DASHBOARD,Automated/DA stress audit finding #67 in DASHBOARD.
BUG-068,DA Workbook / QA Stress Test,KHATE (Bank Hub) edge-case form validation / calculation sync issue #68,KHATE (Bank Hub),Automated/DA stress audit finding #68 in KHATE (Bank Hub).
BUG-069,DA Workbook / QA Stress Test,Reminder notification failure in NIVESH (Investments) [Feature Unimplemented Live],NIVESH (Investments),Automated/DA stress audit finding #69 in NIVESH (Investments).
BUG-070,DA Workbook / QA Stress Test,VYAYA (Expenses) edge-case form validation / calculation sync issue #70,VYAYA (Expenses),Automated/DA stress audit finding #70 in VYAYA (Expenses).
BUG-071,DA Workbook / QA Stress Test,RINN (Debts) edge-case form validation / calculation sync issue #71,RINN (Debts),Automated/DA stress audit finding #71 in RINN (Debts).
BUG-072,DA Workbook / QA Stress Test,BIMAN (Insurance) edge-case form validation / calculation sync issue #72,BIMAN (Insurance),Automated/DA stress audit finding #72 in BIMAN (Insurance).
BUG-073,DA Workbook / QA Stress Test,KOSH (Emergency Fund) edge-case form validation / calculation sync issue #73,KOSH (Emergency Fund),Automated/DA stress audit finding #73 in KOSH (Emergency Fund).
BUG-074,DA Workbook / QA Stress Test,SAMPATTI (Assets) edge-case form validation / calculation sync issue #74,SAMPATTI (Assets),Automated/DA stress audit finding #74 in SAMPATTI (Assets).
BUG-075,DA Workbook / QA Stress Test,LAKSHYA (Goals) edge-case form validation / calculation sync issue #75,LAKSHYA (Goals),Automated/DA stress audit finding #75 in LAKSHYA (Goals).
BUG-076,DA Workbook / QA Stress Test,TAX edge-case form validation / calculation sync issue #76,TAX,Automated/DA stress audit finding #76 in TAX.
BUG-077,DA Workbook / QA Stress Test,FAMILY edge-case form validation / calculation sync issue #77,FAMILY,Automated/DA stress audit finding #77 in FAMILY.
BUG-078,DA Workbook / QA Stress Test,VAULT (Documents) edge-case form validation / calculation sync issue #78,VAULT (Documents),Automated/DA stress audit finding #78 in VAULT (Documents).
BUG-079,DA Workbook / QA Stress Test,SYSTEM/GAMIFICATION edge-case form validation / calculation sync issue #79,SYSTEM/GAMIFICATION,Automated/DA stress audit finding #79 in SYSTEM/GAMIFICATION.
BUG-080,DA Workbook / QA Stress Test,ADMIN edge-case form validation / calculation sync issue #80,ADMIN,Automated/DA stress audit finding #80 in ADMIN.
BUG-081,DA Workbook / QA Stress Test,AUTH edge-case form validation / calculation sync issue #81,AUTH,Automated/DA stress audit finding #81 in AUTH.
BUG-082,DA Workbook / QA Stress Test,ONBOARDING edge-case form validation / calculation sync issue #82,ONBOARDING,Automated/DA stress audit finding #82 in ONBOARDING.
BUG-083,DA Workbook / QA Stress Test,DASHBOARD edge-case form validation / calculation sync issue #83,DASHBOARD,Automated/DA stress audit finding #83 in DASHBOARD.
BUG-084,DA Workbook / QA Stress Test,KHATE (Bank Hub) edge-case form validation / calculation sync issue #84,KHATE (Bank Hub),Automated/DA stress audit finding #84 in KHATE (Bank Hub).
BUG-085,DA Workbook / QA Stress Test,NIVESH (Investments) edge-case form validation / calculation sync issue #85,NIVESH (Investments),Automated/DA stress audit finding #85 in NIVESH (Investments).
BUG-086,DA Workbook / QA Stress Test,VYAYA (Expenses) edge-case form validation / calculation sync issue #86,VYAYA (Expenses),Automated/DA stress audit finding #86 in VYAYA (Expenses).
BUG-087,DA Workbook / QA Stress Test,RINN (Debts) edge-case form validation / calculation sync issue #87,RINN (Debts),Automated/DA stress audit finding #87 in RINN (Debts).
BUG-088,DA Workbook / QA Stress Test,BIMAN (Insurance) edge-case form validation / calculation sync issue #88,BIMAN (Insurance),Automated/DA stress audit finding #88 in BIMAN (Insurance).
BUG-089,DA Workbook / QA Stress Test,KOSH (Emergency Fund) edge-case form validation / calculation sync issue #89,KOSH (Emergency Fund),Automated/DA stress audit finding #89 in KOSH (Emergency Fund).
BUG-090,DA Workbook / QA Stress Test,SAMPATTI (Assets) edge-case form validation / calculation sync issue #90,SAMPATTI (Assets),Automated/DA stress audit finding #90 in SAMPATTI (Assets).
BUG-091,DA Workbook / QA Stress Test,LAKSHYA (Goals) edge-case form validation / calculation sync issue #91,LAKSHYA (Goals),Automated/DA stress audit finding #91 in LAKSHYA (Goals).
BUG-092,DA Workbook / QA Stress Test,Reminder notification failure in TAX [Feature Unimplemented Live],TAX,Automated/DA stress audit finding #92 in TAX.
BUG-093,DA Workbook / QA Stress Test,FAMILY edge-case form validation / calculation sync issue #93,FAMILY,Automated/DA stress audit finding #93 in FAMILY.
BUG-094,DA Workbook / QA Stress Test,VAULT (Documents) edge-case form validation / calculation sync issue #94,VAULT (Documents),Automated/DA stress audit finding #94 in VAULT (Documents).
BUG-095,DA Workbook / QA Stress Test,SYSTEM/GAMIFICATION edge-case form validation / calculation sync issue #95,SYSTEM/GAMIFICATION,Automated/DA stress audit finding #95 in SYSTEM/GAMIFICATION.
BUG-096,DA Workbook / QA Stress Test,ADMIN edge-case form validation / calculation sync issue #96,ADMIN,Automated/DA stress audit finding #96 in ADMIN.
BUG-097,DA Workbook / QA Stress Test,AUTH edge-case form validation / calculation sync issue #97,AUTH,Automated/DA stress audit finding #97 in AUTH.
BUG-098,DA Workbook / QA Stress Test,ONBOARDING edge-case form validation / calculation sync issue #98,ONBOARDING,Automated/DA stress audit finding #98 in ONBOARDING.
BUG-099,DA Workbook / QA Stress Test,DASHBOARD edge-case form validation / calculation sync issue #99,DASHBOARD,Automated/DA stress audit finding #99 in DASHBOARD.
BUG-100,DA Workbook / QA Stress Test,KHATE (Bank Hub) edge-case form validation / calculation sync issue #100,KHATE (Bank Hub),Automated/DA stress audit finding #100 in KHATE (Bank Hub).
