Bug ID,Source ID / Reference,Source Type,Module,Parent Module,Bug Title,Bug Description,Severity,Priority,Reproduction Status,Live Verification Status,Reminder Feature Status,Likely Files,Likely Functions,Likely Tables,Likely Columns,Related Modules,Duplicate Status,Master Bug ID,Parent Bug Link,Technical Confidence,Evidence ID / Source Row,Evidence Path,Dummy Data Used,Observed Behavior,Expected Behavior,PRD Requirement ID,Jira Key,Jira Status,Root Cause Analysis,Fix Complexity,Fix Owner Role,Recommended Next Action,Reviewer Name,Review Date,Verification Notes,Security Impact,Data Loss Risk,Blocked Journeys,Closure Status
BUG-011,SRC-LEGACY-011,Code Audit / Legacy,EDUCATION,EDUCATION,Google Drive link redirects to Pehchaan instead of staying on page,Observed issue in EDUCATION: Google Drive link redirects to Pehchaan instead of staying on page,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/google-drive/upload/route.ts,N/A,document_meta,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-11,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-EDUCATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Modify the Google Drive OAuth callback handler to dynamically redirect back to the education page context.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-012,SRC-LEGACY-012,Code Audit / Legacy,EDUCATION,EDUCATION,Education loan toggle status not saving to database,Observed issue in EDUCATION: Education loan toggle status not saving to database,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/education/[id]/route.ts,N/A,education,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-12,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-EDUCATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Invalidate the local `educationCache` in the PUT/UPDATE route file to prevent loading stale values from cache on refresh.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-013,SRC-LEGACY-013,Code Audit / Legacy,EDUCATION,EDUCATION,Certificate does not move to new family member folder in Google Drive,Observed issue in EDUCATION: Certificate does not move to new family member folder in Google Drive,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/education/[id]/route.ts,N/A,education,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-13,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-EDUCATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Add logic to invoke `syncDocumentMemberAssociation` when the family member link is updated.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-014,SRC-LEGACY-014,Code Audit / Legacy,EDUCATION,EDUCATION,Education loan toggle missing in edit page,Observed issue in EDUCATION: Education loan toggle missing in edit page,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/foundation/education/[id]/edit/page.tsx,N/A,education,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-14,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-EDUCATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Add the missing loan toggle switch in the UI form of the edit page, pre-populating its state from `linkedLoanId`.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-015,SRC-LEGACY-015,Code Audit / Legacy,FOUNDATION,FOUNDATION,Foundation card UI spacing issues on Rajya dashboard,Observed issue in FOUNDATION: Foundation card UI spacing issues on Rajya dashboard,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/rajya/page.tsx,N/A,None,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-15,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-FOUNDATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Adjust tailwind classes/CSS styles on the Rajya dashboard card templates.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-016,SRC-LEGACY-016,Code Audit / Legacy,KUNJI,KUNJI,Reveal password button does nothing when clicked,Observed issue in KUNJI: Reveal password button does nothing when clicked,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/dwaar/portals/portal/[id]/page.tsx,N/A,credential_records,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-16,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KUNJI-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Connect the decrypt button click to open the master passphrase modal and decrypt the stored credentials.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-017,SRC-LEGACY-017,Code Audit / Legacy,KUNJI,KUNJI,Portal registration date accepts future dates,Observed issue in KUNJI: Portal registration date accepts future dates,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/dwaar/portals/add/page.tsx,N/A,credential_records,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-17,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KUNJI-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Restrict calendar input values to past/present dates only.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-018,SRC-LEGACY-018,Code Audit / Legacy,RAKSHA,RAKSHA,Premium amount pre-fill 0 appending,Observed issue in RAKSHA: Premium amount pre-fill 0 appending,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/raksha/policies/add/page.tsx,N/A,insurance_policies,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-18,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RAKSHA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Replace default input values with empty strings or clear leading zeros when input begins.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-019,SRC-LEGACY-019,Code Audit / Legacy,RAKSHA,RAKSHA,Next due date accepts past dates,Observed issue in RAKSHA: Next due date accepts past dates,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/raksha/policies/add/page.tsx,N/A,insurance_policies,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-19,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RAKSHA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Add validator error checking that next due date is in the future.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-020,SRC-LEGACY-020,Code Audit / Legacy,RAKSHA,RAKSHA,Document upload field missing in add policy form,Observed issue in RAKSHA: Document upload field missing in add policy form,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/raksha/policies/add/page.tsx,N/A,insurance_policies,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-20,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RAKSHA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Integrate the file uploader component in the creation page, copying it from the edit view.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-021,SRC-LEGACY-021,Code Audit / Legacy,RAKSHA,RAKSHA,Uploaded insurance document returns Drive file not found error,Observed issue in RAKSHA: Uploaded insurance document returns Drive file not found error,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/google-drive/download/route.ts,N/A,document_meta,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-21,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RAKSHA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Ensure files are correctly uploaded to the tenant folder in Drive, mapping the exact `cloudId` in the DB.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-022,SRC-LEGACY-022,Code Audit / Legacy,KHATE,KHATE,Multiple bank accounts marked as primary,Observed issue in KHATE: Multiple bank accounts marked as primary,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/bank/route.ts,N/A,bank_accounts,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-22,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KHATE-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"When creating/editing, unset `isPrimary` on other accounts for the same user before marking the target as primary.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-023,SRC-LEGACY-023,Code Audit / Legacy,RIN,RIN,Loan start date accepts future dates,Observed issue in RIN: Loan start date accepts future dates,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/rin/loans/add/page.tsx,N/A,loan_accounts,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-23,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RIN-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Restrict datepicker selection to past/present dates only.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-024,SRC-LEGACY-024,Code Audit / Legacy,RIN,RIN,Document upload field missing in add loan form,Observed issue in RIN: Document upload field missing in add loan form,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/rin/loans/add/page.tsx,N/A,loan_accounts,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-24,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RIN-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Add the file uploader component in the add loan page to maintain consistency with the edit view.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-025,SRC-LEGACY-025,Code Audit / Legacy,RIN,RIN,Uploaded loan document returns Drive file not found error,Observed issue in RIN: Uploaded loan document returns Drive file not found error,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/google-drive/download/route.ts,N/A,document_meta,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-25,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RIN-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Ensure files are uploaded to the correct storage bucket and file refs align with `cloudId`.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-026,SRC-LEGACY-026,Code Audit / Legacy,RIN,RIN,End date field missing in form but shown as N/A in view page,Observed issue in RIN: End date field missing in form but shown as N/A in view page,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/rin/loans/add/page.tsx,N/A,loan_accounts,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-26,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-RIN-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Add expected end date selector in forms, calculating it automatically from tenure/start date if needed.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-027,SRC-LEGACY-027,Code Audit / Legacy,VYAYA,VYAYA,Expense date accepts future dates,Observed issue in VYAYA: Expense date accepts future dates,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/vyaya/add/page.tsx,N/A,expense_entries,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-27,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-VYAYA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Add client-side and server-side checks to prevent expense logs in the future.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-028,SRC-LEGACY-028,Code Audit / Legacy,VYAYA,VYAYA,Recurring expense frequency not saving,Observed issue in VYAYA: Recurring expense frequency not saving,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/lib/expenseStore.ts,N/A,expense_entries,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-28,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-VYAYA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Map `recurringFrequency` from the local store object to the `frequency` parameter when constructing the JSON POST request (line 199).,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-029,SRC-LEGACY-029,Code Audit / Legacy,VYAYA,VYAYA,Subscription last used future / renewal past dates accepted,Observed issue in VYAYA: Subscription last used future / renewal past dates accepted,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/leakage/subscriptions/page.tsx,N/A,subscriptions,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-29,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-VYAYA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Add validations: last used date must be past/present, renewal date must be future/present.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-030,SRC-LEGACY-030,Code Audit / Legacy,MITRA,MITRA,Succession will last review date accepts future dates,Observed issue in MITRA: Succession will last review date accepts future dates,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/succession/will/page.tsx,N/A,succession_wills,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-30,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-MITRA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Enforce that will review date cannot exceed the current calendar date.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-031,SRC-LEGACY-031,Code Audit / Legacy,BHOOMI,BHOOMI,Bhoomi header card length inconsistency,Observed issue in BHOOMI: Bhoomi header card length inconsistency,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/bhoomi/page.tsx,N/A,None,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-31,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-BHOOMI-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Standardize CSS width class properties in the Bhoomi dashboard page wrapper.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-032,SRC-LEGACY-032,Code Audit / Legacy,KAR,KAR,ITR year format lacks calendar picker/validation,Observed issue in KAR: ITR year format lacks calendar picker/validation,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/kar/itr/new/page.tsx,N/A,tax_records,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-32,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KAR-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Replace text inputs with select dropdowns containing years formatted in YYYY-YY (e.g. 2024-25).,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-033,SRC-LEGACY-033,Code Audit / Legacy,KAR,KAR,ITR filing date in future disables save silently,Observed issue in KAR: ITR filing date in future disables save silently,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/kar/itr/new/page.tsx,N/A,tax_records,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-33,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KAR-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Instead of disabling the save button silently, display a validation warning explaining the date rule.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-034,SRC-LEGACY-034,Code Audit / Legacy,KAR,KAR,Uploaded ITR document returns Drive file not found error,Observed issue in KAR: Uploaded ITR document returns Drive file not found error,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/google-drive/download/route.ts,N/A,document_meta,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-34,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KAR-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Verify that files are correctly uploaded to cloud storage and references match DB schemas.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-035,SRC-LEGACY-035,Code Audit / Legacy,KAR,KAR,GST validation errors trigger for all fields simultaneously,Observed issue in KAR: GST validation errors trigger for all fields simultaneously,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/kar/gst/new/page.tsx,N/A,gst_records,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-35,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KAR-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Only trigger validations on form submission or field blur, rather than evaluating all fields on a single input change.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-036,SRC-LEGACY-036,Code Audit / Legacy,KAR,KAR,GST next due date accepts past dates,Observed issue in KAR: GST next due date accepts past dates,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/kar/gst/new/page.tsx,N/A,gst_records,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-36,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KAR-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Add constraint logic: next filing due date must be today or a future date.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-037,SRC-LEGACY-037,Code Audit / Legacy,KAR,KAR,DIN form save button disabled silently,Observed issue in KAR: DIN form save button disabled silently,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/kar/din/new/page.tsx,N/A,din_records,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-37,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-KAR-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Display specific field error labels instead of silently disabling the save button when validation fails.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-038,SRC-LEGACY-038,Code Audit / Legacy,MITRA,MITRA,Will Executor contact accepts more than 10 digits,Observed issue in MITRA: Will Executor contact accepts more than 10 digits,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/succession/will/page.tsx,N/A,succession_wills,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-38,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-MITRA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Add regex checking to restrict phone input to exactly 10 digits (0-9 only).,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-039,SRC-LEGACY-039,Code Audit / Legacy,MITRA,MITRA,Emergency contact fields accept alphabetic letters,Observed issue in MITRA: Emergency contact fields accept alphabetic letters,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/succession/emergency/page.tsx,N/A,succession_emergency,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-39,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-MITRA-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Enforce numeric-only phone input validation in emergency contact page form fields.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
