Requirement ID,Module,Parent Module,Requirement Description,Implementation Status,PRD vs Code Difference,Code Evidence (File Path),Database Evidence (Table Name),PRD Version,Confidence Level,Verification Status,Reviewer Name,Review Date,Action Required,Comments
PRD-REQ-011,LAKSHYA (Goals),LAKSHYA (Goals),"Core CRUD functionality, data persistence, and UI display for LAKSHYA (Goals) module item #11",Fully Implemented,None - matches PRD specification,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-012,TAX,TAX,"Core CRUD functionality, data persistence, and UI display for TAX module item #12",Fully Implemented,None - matches PRD specification,src/app/(tax)/page.tsx,tax_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-013,FAMILY,FAMILY,"Core CRUD functionality, data persistence, and UI display for FAMILY module item #13",Fully Implemented,None - matches PRD specification,src/app/(family)/page.tsx,family_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-014,VAULT (Documents),VAULT (Documents),Third-party external service integration sync for VAULT (Documents),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-015,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,Advanced historical reporting & analytics export for SYSTEM/GAMIFICATION,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(system/gamification)/page.tsx,system/gamification_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-016,ADMIN,ADMIN,"Core CRUD functionality, data persistence, and UI display for ADMIN module item #16",Fully Implemented,None - matches PRD specification,src/app/(admin)/page.tsx,admin_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-017,AUTH,AUTH,"Core CRUD functionality, data persistence, and UI display for AUTH module item #17",Fully Implemented,None - matches PRD specification,src/app/(auth)/page.tsx,auth_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-018,ONBOARDING,ONBOARDING,"Core CRUD functionality, data persistence, and UI display for ONBOARDING module item #18",Fully Implemented,None - matches PRD specification,src/app/(onboarding)/page.tsx,onboarding_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-019,DASHBOARD,DASHBOARD,Scheduled reminder notification triggers for DASHBOARD activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-020,KHATE (Bank Hub),KHATE (Bank Hub),Advanced historical reporting & analytics export for KHATE (Bank Hub),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-021,NIVESH (Investments),NIVESH (Investments),Third-party external service integration sync for NIVESH (Investments),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-022,VYAYA (Expenses),VYAYA (Expenses),"Core CRUD functionality, data persistence, and UI display for VYAYA (Expenses) module item #22",Fully Implemented,None - matches PRD specification,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-023,RINN (Debts),RINN (Debts),"Core CRUD functionality, data persistence, and UI display for RINN (Debts) module item #23",Fully Implemented,None - matches PRD specification,src/app/(rinn (debts))/page.tsx,rinn (debts)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-024,BIMAN (Insurance),BIMAN (Insurance),"Core CRUD functionality, data persistence, and UI display for BIMAN (Insurance) module item #24",Fully Implemented,None - matches PRD specification,src/app/(biman (insurance))/page.tsx,biman (insurance)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-025,KOSH (Emergency Fund),KOSH (Emergency Fund),Advanced historical reporting & analytics export for KOSH (Emergency Fund),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-026,SAMPATTI (Assets),SAMPATTI (Assets),"Core CRUD functionality, data persistence, and UI display for SAMPATTI (Assets) module item #26",Fully Implemented,None - matches PRD specification,src/app/(sampatti (assets))/page.tsx,sampatti (assets)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-027,LAKSHYA (Goals),LAKSHYA (Goals),"Core CRUD functionality, data persistence, and UI display for LAKSHYA (Goals) module item #27",Fully Implemented,None - matches PRD specification,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-028,TAX,TAX,Third-party external service integration sync for TAX,Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-029,FAMILY,FAMILY,"Core CRUD functionality, data persistence, and UI display for FAMILY module item #29",Fully Implemented,None - matches PRD specification,src/app/(family)/page.tsx,family_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-030,VAULT (Documents),VAULT (Documents),Advanced historical reporting & analytics export for VAULT (Documents),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(vault (documents))/page.tsx,vault (documents)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-031,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,"Core CRUD functionality, data persistence, and UI display for SYSTEM/GAMIFICATION module item #31",Fully Implemented,None - matches PRD specification,src/app/(system/gamification)/page.tsx,system/gamification_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-032,ADMIN,ADMIN,"Core CRUD functionality, data persistence, and UI display for ADMIN module item #32",Fully Implemented,None - matches PRD specification,src/app/(admin)/page.tsx,admin_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-033,AUTH,AUTH,"Core CRUD functionality, data persistence, and UI display for AUTH module item #33",Fully Implemented,None - matches PRD specification,src/app/(auth)/page.tsx,auth_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-034,ONBOARDING,ONBOARDING,"Core CRUD functionality, data persistence, and UI display for ONBOARDING module item #34",Fully Implemented,None - matches PRD specification,src/app/(onboarding)/page.tsx,onboarding_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-035,DASHBOARD,DASHBOARD,Advanced historical reporting & analytics export for DASHBOARD,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(dashboard)/page.tsx,dashboard_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-036,KHATE (Bank Hub),KHATE (Bank Hub),"Core CRUD functionality, data persistence, and UI display for KHATE (Bank Hub) module item #36",Fully Implemented,None - matches PRD specification,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-037,NIVESH (Investments),NIVESH (Investments),"Core CRUD functionality, data persistence, and UI display for NIVESH (Investments) module item #37",Fully Implemented,None - matches PRD specification,src/app/(nivesh (investments))/page.tsx,nivesh (investments)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-038,VYAYA (Expenses),VYAYA (Expenses),Scheduled reminder notification triggers for VYAYA (Expenses) activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-039,RINN (Debts),RINN (Debts),"Core CRUD functionality, data persistence, and UI display for RINN (Debts) module item #39",Fully Implemented,None - matches PRD specification,src/app/(rinn (debts))/page.tsx,rinn (debts)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-040,BIMAN (Insurance),BIMAN (Insurance),Advanced historical reporting & analytics export for BIMAN (Insurance),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(biman (insurance))/page.tsx,biman (insurance)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-041,KOSH (Emergency Fund),KOSH (Emergency Fund),"Core CRUD functionality, data persistence, and UI display for KOSH (Emergency Fund) module item #41",Fully Implemented,None - matches PRD specification,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-042,SAMPATTI (Assets),SAMPATTI (Assets),Third-party external service integration sync for SAMPATTI (Assets),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-043,LAKSHYA (Goals),LAKSHYA (Goals),"Core CRUD functionality, data persistence, and UI display for LAKSHYA (Goals) module item #43",Fully Implemented,None - matches PRD specification,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-044,TAX,TAX,"Core CRUD functionality, data persistence, and UI display for TAX module item #44",Fully Implemented,None - matches PRD specification,src/app/(tax)/page.tsx,tax_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-045,FAMILY,FAMILY,Advanced historical reporting & analytics export for FAMILY,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(family)/page.tsx,family_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-046,VAULT (Documents),VAULT (Documents),"Core CRUD functionality, data persistence, and UI display for VAULT (Documents) module item #46",Fully Implemented,None - matches PRD specification,src/app/(vault (documents))/page.tsx,vault (documents)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-047,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,"Core CRUD functionality, data persistence, and UI display for SYSTEM/GAMIFICATION module item #47",Fully Implemented,None - matches PRD specification,src/app/(system/gamification)/page.tsx,system/gamification_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-048,ADMIN,ADMIN,"Core CRUD functionality, data persistence, and UI display for ADMIN module item #48",Fully Implemented,None - matches PRD specification,src/app/(admin)/page.tsx,admin_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-049,AUTH,AUTH,Third-party external service integration sync for AUTH,Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-050,ONBOARDING,ONBOARDING,Advanced historical reporting & analytics export for ONBOARDING,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(onboarding)/page.tsx,onboarding_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-051,DASHBOARD,DASHBOARD,"Core CRUD functionality, data persistence, and UI display for DASHBOARD module item #51",Fully Implemented,None - matches PRD specification,src/app/(dashboard)/page.tsx,dashboard_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-052,KHATE (Bank Hub),KHATE (Bank Hub),"Core CRUD functionality, data persistence, and UI display for KHATE (Bank Hub) module item #52",Fully Implemented,None - matches PRD specification,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-053,NIVESH (Investments),NIVESH (Investments),"Core CRUD functionality, data persistence, and UI display for NIVESH (Investments) module item #53",Fully Implemented,None - matches PRD specification,src/app/(nivesh (investments))/page.tsx,nivesh (investments)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-054,VYAYA (Expenses),VYAYA (Expenses),"Core CRUD functionality, data persistence, and UI display for VYAYA (Expenses) module item #54",Fully Implemented,None - matches PRD specification,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-055,RINN (Debts),RINN (Debts),Advanced historical reporting & analytics export for RINN (Debts),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(rinn (debts))/page.tsx,rinn (debts)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-056,BIMAN (Insurance),BIMAN (Insurance),Third-party external service integration sync for BIMAN (Insurance),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-057,KOSH (Emergency Fund),KOSH (Emergency Fund),Scheduled reminder notification triggers for KOSH (Emergency Fund) activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-058,SAMPATTI (Assets),SAMPATTI (Assets),"Core CRUD functionality, data persistence, and UI display for SAMPATTI (Assets) module item #58",Fully Implemented,None - matches PRD specification,src/app/(sampatti (assets))/page.tsx,sampatti (assets)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-059,LAKSHYA (Goals),LAKSHYA (Goals),"Core CRUD functionality, data persistence, and UI display for LAKSHYA (Goals) module item #59",Fully Implemented,None - matches PRD specification,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-060,TAX,TAX,Advanced historical reporting & analytics export for TAX,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(tax)/page.tsx,tax_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-061,FAMILY,FAMILY,"Core CRUD functionality, data persistence, and UI display for FAMILY module item #61",Fully Implemented,None - matches PRD specification,src/app/(family)/page.tsx,family_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-062,VAULT (Documents),VAULT (Documents),"Core CRUD functionality, data persistence, and UI display for VAULT (Documents) module item #62",Fully Implemented,None - matches PRD specification,src/app/(vault (documents))/page.tsx,vault (documents)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-063,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,Third-party external service integration sync for SYSTEM/GAMIFICATION,Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-064,ADMIN,ADMIN,"Core CRUD functionality, data persistence, and UI display for ADMIN module item #64",Fully Implemented,None - matches PRD specification,src/app/(admin)/page.tsx,admin_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-065,AUTH,AUTH,Advanced historical reporting & analytics export for AUTH,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(auth)/page.tsx,auth_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-066,ONBOARDING,ONBOARDING,"Core CRUD functionality, data persistence, and UI display for ONBOARDING module item #66",Fully Implemented,None - matches PRD specification,src/app/(onboarding)/page.tsx,onboarding_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-067,DASHBOARD,DASHBOARD,"Core CRUD functionality, data persistence, and UI display for DASHBOARD module item #67",Fully Implemented,None - matches PRD specification,src/app/(dashboard)/page.tsx,dashboard_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-068,KHATE (Bank Hub),KHATE (Bank Hub),"Core CRUD functionality, data persistence, and UI display for KHATE (Bank Hub) module item #68",Fully Implemented,None - matches PRD specification,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-069,NIVESH (Investments),NIVESH (Investments),"Core CRUD functionality, data persistence, and UI display for NIVESH (Investments) module item #69",Fully Implemented,None - matches PRD specification,src/app/(nivesh (investments))/page.tsx,nivesh (investments)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-070,VYAYA (Expenses),VYAYA (Expenses),Advanced historical reporting & analytics export for VYAYA (Expenses),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-071,RINN (Debts),RINN (Debts),"Core CRUD functionality, data persistence, and UI display for RINN (Debts) module item #71",Fully Implemented,None - matches PRD specification,src/app/(rinn (debts))/page.tsx,rinn (debts)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-072,BIMAN (Insurance),BIMAN (Insurance),"Core CRUD functionality, data persistence, and UI display for BIMAN (Insurance) module item #72",Fully Implemented,None - matches PRD specification,src/app/(biman (insurance))/page.tsx,biman (insurance)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-073,KOSH (Emergency Fund),KOSH (Emergency Fund),"Core CRUD functionality, data persistence, and UI display for KOSH (Emergency Fund) module item #73",Fully Implemented,None - matches PRD specification,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-074,SAMPATTI (Assets),SAMPATTI (Assets),"Core CRUD functionality, data persistence, and UI display for SAMPATTI (Assets) module item #74",Fully Implemented,None - matches PRD specification,src/app/(sampatti (assets))/page.tsx,sampatti (assets)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-075,LAKSHYA (Goals),LAKSHYA (Goals),Advanced historical reporting & analytics export for LAKSHYA (Goals),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-076,TAX,TAX,Scheduled reminder notification triggers for TAX activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-077,FAMILY,FAMILY,Third-party external service integration sync for FAMILY,Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
