Module_ID,Module_Name,Config_Key,Config_Status,Main_Route,Main_Page_File,Main_Component_or_Function,Related_Page_Files,API_Routes,Service_or_Store,Data_or_Storage,Module_Association,Implementation_Assessment,Confidence,Evidence_Notes
11,Kar / Tax and Compliance,KAR,isImplemented=true,/kar,src/app/(dashboard)/kar/page.tsx,KarPage,"src/app/(dashboard)/kar/gst/page.tsx; src/app/(dashboard)/kar/gst/new/page.tsx; src/app/(dashboard)/kar/gst/[id]/edit/page.tsx; src/app/(dashboard)/kar/din/page.tsx; src/app/(dashboard)/kar/din/new/page.tsx; src/app/(dashboard)/kar/din/[id]/edit/page.tsx; src/app/(dashboard)/kar/itr/page.tsx; src/app/(dashboard)/kar/itr/new/page.tsx; src/app/(dashboard)/kar/itr/[id]/edit/page.tsx","/api/kar/summary; /api/kar/insights; /api/kar/tax; /api/kar/gst; /api/kar/din; /api/tax/records; /api/gst/records; /api/din/records","taxService; gstService; dinService; FileUploader","Prisma TaxRecord/GstRecord/DinRecord; local Vault",Tax ITR GST and DIN compliance,Implemented,Confirmed,"modules.config.ts lines 139-150; page/API/service paths exist and Kar aggregate routes import all three services"
12,Mitra / Nominees and Will,MITRA,isImplemented=true,/mitra,src/app/(dashboard)/mitra/page.tsx,MitraModule,"src/app/(dashboard)/mitra/assets/page.tsx; src/app/(dashboard)/mitra/will/page.tsx","/api/nominee; /api/nominee/assets; /api/will; /api/family","nomineeService; willService","Prisma NomineeMapping/WillStatus",Nominees beneficiary mapping and will status,Implemented,Confirmed,"modules.config.ts lines 151-162; module pages and nominee/will API/service files exist"
13,Leakage / Subscriptions,LEAKAGE,isImplemented=true,/leakage,src/app/(dashboard)/leakage/page.tsx,LeakageModulePage,"src/app/(dashboard)/leakage/subscriptions/page.tsx; src/app/(dashboard)/subscriptions/page.tsx; src/app/(dashboard)/vyaya/subscriptions/page.tsx","/api/subscriptions; /api/subscriptions/[id]","subscriptionService; subscriptionAnalyticsService; ExpenseStore","Prisma Subscription/SubscriptionAnalytics; browser ExpenseStore",Subscription leakage and recurring-cost review,Implemented across overlapping subscription route families,Confirmed,"modules.config.ts lines 163-174; LeakageModulePage fetches /api/subscriptions; three subscription UI paths exist"
14,Lakshya / Goals,LAKSHYA,isImplemented=false,/lakshya,src/app/(dashboard)/lakshya/page.tsx,LakshyaPage,None,None,None,"Prisma Goal model exists but no route integration was found for this page",Financial goals,Placeholder page despite schema model,Confirmed,"modules.config.ts lines 175-186; LakshyaPage has navigation/display only; no /api/goals route exists in the snapshot"
15,Sampatti / Asset Inventory,SAMPATTI,isImplemented=false,/sampatti,src/app/(dashboard)/sampatti/page.tsx,SampattiPage,None,None,useSampattiStore,"Zustand persisted browser state; Prisma AssetInventory model is not connected by this page",Physical asset inventory,Functional local-only UI with config disabled,Confirmed,"modules.config.ts lines 187-198; SampattiPage imports useSampattiStore; no Sampatti API route is present"
16,Granthagaar / Document Vault,GRANTHAGAAR,isImplemented=false,/granthagaar,src/app/(dashboard)/granthagaar/page.tsx,VaultPage,None,"/api/family through FileUploader; /api/google-drive/upload through Vault path","Vault from src/lib/services/documentService.ts; FileUploader","IndexedDB local vault with optional FileUploader cloud paths",Document vault,Functional local vault UI with config disabled and overlapping /vault implementation,Confirmed,"modules.config.ts lines 199-210; Granthagaar VaultPage uses documentService Vault while /vault uses src/lib/vault.ts"
17,Suchak / Dashboard,SUCHAK,isImplemented=false,/suchak,src/app/(dashboard)/suchak/page.tsx,Dashboard,None,"/api/bank through bankApi",IdentityStore/IncomeStore/ExpenseStore/BankStore/OnboardingStore/ThemeStore under src/lib/stores,"Browser stores plus bank API summary",Dashboard and indicators,Functional alternate dashboard with config disabled and overlap with /rajya,Confirmed,"modules.config.ts lines 211-222; Suchak Dashboard imports newer store family; /rajya Dashboard imports older store family"
18,Doot / Reminders,DOOT,isImplemented=false,/doot,src/app/(dashboard)/doot/page.tsx,NotificationsPage,None,None,NotificationStore,"Browser NotificationStore; separate Prisma Notification and Reminder services are not called by this page",Reminder and notification display,Functional local notification UI with config disabled and overlap with /notifications,Confirmed,"modules.config.ts lines 223-234; Doot NotificationsPage reads NotificationStore; /notifications defines another NotificationsPage"
19,Mantri / Insights,MANTRI,isImplemented=false,/mantri,src/app/(dashboard)/mantri/page.tsx,MantriPage,None,None,None,None,Insights,Coming Soon placeholder,Confirmed,"modules.config.ts lines 235-246; MantriPage renders Coming Soon and navigation only"
20,Suraksha / Security,SURAKSHA,isImplemented=false,/suraksha,src/app/(dashboard)/suraksha/page.tsx,SurakshaPage,None,None,None,None,Security settings,Coming Soon placeholder,Confirmed,"modules.config.ts lines 247-258; SurakshaPage renders Coming Soon and navigation only"
21,Raj Mantri / AI Assistant,RAJ_MANTRI,isImplemented=false,/raj-mantri,src/app/(dashboard)/raj-mantri/page.tsx,RajMantriPage,None,None,None,None,AI financial assistant,Coming Soon placeholder,Confirmed,"modules.config.ts lines 259-270; RajMantriPage renders Coming Soon and navigation only"
NC-1,Uttaradhikar Sabha / Succession,Not in MODULES,Not configured,/succession,src/app/(dashboard)/succession/page.tsx,SuccessionIndex,"src/app/(dashboard)/succession/nominees/page.tsx; src/app/(dashboard)/succession/emergency/page.tsx; src/app/(dashboard)/succession/scan/page.tsx; src/app/(dashboard)/succession/tutorial/page.tsx; src/app/(dashboard)/succession/will/page.tsx","/api/succession/assets; /api/succession/nominees; /api/succession/nominees/[id]; /api/succession/will; /api/succession/emergency","per-route Prisma logic; FileUploader; Google Drive helpers","Prisma SuccessionNominee/SuccessionWill/SuccessionEmergency plus linked asset models",Succession planning,Functional module absent from official module config,Confirmed,"six pages and five API route groups exist; no SUCCESSION entry exists in src/config/modules.config.ts"
NC-2,Rajya / Kingdom Map,Not in MODULES,Not configured,/rajya,src/app/(dashboard)/rajya/page.tsx,Dashboard,None,"/api/profile and module stores through page logic","IdentityStore/CredentialStore/IncomeStore/ExpenseStore/BankStore/OnboardingStore/ThemeStore under src/lib","Mixed browser stores and API-derived profile data",Primary post-login dashboard,Functional and auth-linked dashboard absent from official module config,Confirmed,"start/page.tsx redirects successful login to /rajya; middleware redirects authenticated /start to /rajya; no RAJYA entry in module config"
NC-3,Notifications,Not in MODULES,Not configured,/notifications,src/app/(dashboard)/notifications/page.tsx,NotificationsPage,None,"/api/notifications exists but page reads NotificationStore","NotificationStore; notificationService on server","Browser NotificationStore; Prisma Notification service exists separately",User notifications,Functional local notification page absent from config and overlapping Doot,Confirmed,"page subscribes to NotificationStore; notification API/service files exist separately; no NOTIFICATIONS config entry"
NC-4,Vault / Nidhi Vault,Not in MODULES,Not configured,/vault,src/app/(dashboard)/vault/page.tsx,VaultPage,None,"/api/family; /api/google-drive/upload through FileUploader","Vault from src/lib/vault.ts; FileUploader","IndexedDB/OPFS local vault; optional Google Drive or Supabase Storage",Document storage,Functional module absent from config and overlapping Granthagaar,Confirmed,"VaultPage imports src/lib/vault.ts and FileUploader; Granthagaar uses src/lib/services/documentService.ts instead"
