Source File,Line / Approx Location,Pattern Found,Code Snippet,Initial Guess Table/Bucket/Function,Notes
src/app/(auth)/start/page.tsx,Line 172,supabase,"}, [searchParams, supabase.auth]);",Supabase Auth,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 172,supabase.auth,"}, [searchParams, supabase.auth]);",Supabase Auth,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 186,.delete(,"newUrl.searchParams.delete(""error"");",Unknown - review adjacent code,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 207,.delete(,"newUrl.searchParams.delete(""success"");",Unknown - review adjacent code,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 228,supabase,const { data } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 228,supabase.auth,const { data } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 231,supabase,await supabase.auth.signOut();,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 231,supabase.auth,await supabase.auth.signOut();,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 241,supabase,"}, [supabase.auth, mode]);",Supabase Auth,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 241,supabase.auth,"}, [supabase.auth, mode]);",Supabase Auth,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 426,supabase,await supabase.auth.signInWithPassword({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 426,supabase.auth,await supabase.auth.signInWithPassword({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 471,supabase,const { error: signInError } = await supabase.auth.signInWithPassword({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 471,supabase.auth,const { error: signInError } = await supabase.auth.signInWithPassword({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/verify-email/VerifyEmailClient.tsx,Line 13,createClient,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(auth)/verify-email/VerifyEmailClient.tsx,Line 13,supabase,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(auth)/verify-email/VerifyEmailClient.tsx,Line 18,createClient,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(auth)/verify-email/VerifyEmailClient.tsx,Line 18,supabase,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(auth)/verify-email/VerifyEmailClient.tsx,Line 47,supabase,const { error: resendError } = await supabase.auth.resend({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/verify-email/VerifyEmailClient.tsx,Line 47,supabase.auth,const { error: resendError } = await supabase.auth.resend({,Supabase Auth,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 8,createClient,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(dashboard)/foundation/page.tsx,Line 8,supabase,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(dashboard)/foundation/page.tsx,Line 53,createClient,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 53,supabase,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 114,supabase,const { data: { user } } = await supabase.auth.getUser();,Supabase Auth,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 114,supabase.auth,const { data: { user } } = await supabase.auth.getUser();,Supabase Auth,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 121,supabase,const { error: uploadError } = await supabase.storage,Supabase Storage - bucket is traced in final map,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 121,supabase.storage,const { error: uploadError } = await supabase.storage,Supabase Storage - bucket is traced in final map,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 122,.from(,".from(""profile-photos"")",Unknown - review adjacent code,Occurrence retained for review
src/app/(dashboard)/foundation/page.tsx,Line 127,supabase,const { data: urlData } = supabase.storage,Supabase Storage - bucket is traced in final map,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 127,supabase.storage,const { data: urlData } = supabase.storage,Supabase Storage - bucket is traced in final map,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 128,.from(,".from(""profile-photos"")",Unknown - review adjacent code,Occurrence retained for review
src/app/(dashboard)/foundation/page.tsx,Line 133,supabase,const { error: updateError } = await supabase.auth.updateUser({,Supabase Auth,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 133,supabase.auth,const { error: updateError } = await supabase.auth.updateUser({,Supabase Auth,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 150,supabase,"}, [supabase]);",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/(dashboard)/foundation/page.tsx,Line 158,supabase,await supabase.storage,Supabase Storage - bucket is traced in final map,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 158,supabase.storage,await supabase.storage,Supabase Storage - bucket is traced in final map,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 159,.from(,".from(""profile-photos"")",Unknown - review adjacent code,Occurrence retained for review
src/app/(dashboard)/foundation/page.tsx,Line 164,supabase,const { error: updateError } = await supabase.auth.updateUser({,Supabase Auth,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 164,supabase.auth,const { error: updateError } = await supabase.auth.updateUser({,Supabase Auth,Executable Supabase usage included in final map
src/app/(dashboard)/foundation/page.tsx,Line 179,supabase,"}, [photoUrl, supabase]);",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/(dashboard)/kar/itr/[id]/edit/page.tsx,Line 18,.from(,"const YEAR_OPTIONS = Array.from({ length: 11 }, (_, i) => {",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/(dashboard)/kar/itr/new/page.tsx,Line 18,.from(,"const YEAR_OPTIONS = Array.from({ length: 11 }, (_, i) => {",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/(dashboard)/kar/page.tsx,Line 259,.from(,"{Array.from({ length: 7 }).map((_, idx) => (",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/(dashboard)/kosh/analytics/page.tsx,Line 253,.from(,"{Array.from({ length: p.max }).map((_, i) => (",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/(dashboard)/succession/emergency/page.tsx,Line 208,.delete(,current.delete(scope);,Unknown - review adjacent code,Occurrence retained for review
src/app/(dashboard)/succession/emergency/page.tsx,Line 212,.from(,"setField('assetAccessScope', Array.from(current));",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/(landing)/forget-password/page.tsx,Line 5,createClient,import { createClient } from '@/lib/supabase/client';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/(landing)/forget-password/page.tsx,Line 5,supabase,import { createClient } from '@/lib/supabase/client';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/(landing)/forget-password/page.tsx,Line 15,createClient,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(landing)/forget-password/page.tsx,Line 15,supabase,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(landing)/forget-password/page.tsx,Line 42,supabase,const { error: resetError } = await supabase.auth.resetPasswordForEmail(,Supabase Auth,Executable Supabase usage included in final map
src/app/(landing)/forget-password/page.tsx,Line 42,supabase.auth,const { error: resetError } = await supabase.auth.resetPasswordForEmail(,Supabase Auth,Executable Supabase usage included in final map
src/app/(onboarding)/onboarding/firstwin/page.tsx,Line 8,createClient,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(onboarding)/onboarding/firstwin/page.tsx,Line 8,supabase,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(onboarding)/onboarding/firstwin/page.tsx,Line 88,createClient,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(onboarding)/onboarding/firstwin/page.tsx,Line 88,supabase,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(onboarding)/onboarding/firstwin/page.tsx,Line 89,supabase,await supabase.auth.updateUser({ data: { onboarding_completed: true } });,Supabase Auth,Executable Supabase usage included in final map
src/app/(onboarding)/onboarding/firstwin/page.tsx,Line 89,supabase.auth,await supabase.auth.updateUser({ data: { onboarding_completed: true } });,Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 5,createClient,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 5,supabase,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 5,supabase,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 7,createClient,const supabaseAdmin = createClient(,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 7,supabase,const supabaseAdmin = createClient(,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 8,NEXT_PUBLIC_SUPABASE_URL,"process.env.NEXT_PUBLIC_SUPABASE_URL!,",Supabase public client configuration name only,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 8,supabase,"process.env.NEXT_PUBLIC_SUPABASE_URL!,",Supabase public client configuration name only,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 9,supabase,"process.env.SUPABASE_SERVICE_ROLE_KEY!,",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 56,.from(,"stateData = JSON.parse(Buffer.from(state, 'base64').toString('utf-8'));",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/api/auth/google-callback/route.ts,Line 116,.update(,await prisma.user.update({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/auth/google-callback/route.ts,Line 178,supabase,// 1. Check if user exists in Supabase,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 179,supabase,"const { data: listUsers, error: listError } = await supabaseAdmin.auth.admin.listUsers();",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 179,supabase.auth,"const { data: listUsers, error: listError } = await supabaseAdmin.auth.admin.listUsers();",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 182,supabase,"console.error('Supabase list users error:', listError);",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 188,supabase,let supabaseUser;,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 192,supabase,supabaseUser = existingSupaUser;,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 194,supabase,// Create user in Supabase,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 195,supabase,"const { data: newSupaUser, error: createError } = await supabaseAdmin.auth.admin.createUser({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 195,supabase.auth,"const { data: newSupaUser, error: createError } = await supabaseAdmin.auth.admin.createUser({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 202,supabase,"console.error('Supabase user creation error:', createError);",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 206,supabase,supabaseUser = newSupaUser.user;,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 211,.upsert(,await prisma.user.upsert({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/auth/google-callback/route.ts,Line 212,supabase,"where: { id: supabaseUser.id },",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 220,supabase,"id: supabaseUser.id,",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/google-callback/route.ts,Line 233,supabase,"const { data: linkData, error: linkError } = await supabaseAdmin.auth.admin.generateLink({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-callback/route.ts,Line 233,supabase.auth,"const { data: linkData, error: linkError } = await supabaseAdmin.auth.admin.generateLink({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-status/route.ts,Line 2,createClient,import { createClient } from '@/lib/supabase/server';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/google-status/route.ts,Line 2,supabase,import { createClient } from '@/lib/supabase/server';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/google-status/route.ts,Line 7,createClient,const supabase = await createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/google-status/route.ts,Line 7,supabase,const supabase = await createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/google-status/route.ts,Line 8,supabase,const { data: { session } } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google-status/route.ts,Line 8,supabase.auth,const { data: { session } } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google/route.ts,Line 2,createClient,import { createClient } from '@/lib/supabase/server';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/google/route.ts,Line 2,supabase,import { createClient } from '@/lib/supabase/server';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/google/route.ts,Line 6,createClient,const supabase = await createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/google/route.ts,Line 6,supabase,const supabase = await createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/google/route.ts,Line 7,supabase,const { data: { session } } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google/route.ts,Line 7,supabase.auth,const { data: { session } } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/google/route.ts,Line 21,.from(,const state = Buffer.from(JSON.stringify(statePayload)).toString('base64');,JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/api/auth/link-google/route.ts,Line 2,createClient,import { createClient } from '@/lib/supabase/server';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/link-google/route.ts,Line 2,supabase,import { createClient } from '@/lib/supabase/server';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/link-google/route.ts,Line 6,createClient,const supabase = await createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/link-google/route.ts,Line 6,supabase,const supabase = await createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/link-google/route.ts,Line 7,supabase,const { data: { session } } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/link-google/route.ts,Line 7,supabase.auth,const { data: { session } } = await supabase.auth.getSession();,Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/link-google/route.ts,Line 23,.from(,const state = Buffer.from(JSON.stringify({,JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/api/auth/send-confirmation/route.ts,Line 2,createClient,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 2,supabase,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 2,supabase,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 9,createClient,const supabaseAdmin = createClient(,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/send-confirmation/route.ts,Line 9,supabase,const supabaseAdmin = createClient(,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/send-confirmation/route.ts,Line 10,NEXT_PUBLIC_SUPABASE_URL,"process.env.NEXT_PUBLIC_SUPABASE_URL!,",Supabase public client configuration name only,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 10,supabase,"process.env.NEXT_PUBLIC_SUPABASE_URL!,",Supabase public client configuration name only,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 11,supabase,process.env.SUPABASE_SERVICE_ROLE_KEY!,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 34,supabase,// Generate link using Admin API (creates the user but prevents Supabase from sending its default email),Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 35,supabase,"const { data: linkData, error: linkError } = await supabaseAdmin.auth.admin.generateLink({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/send-confirmation/route.ts,Line 35,supabase.auth,"const { data: linkData, error: linkError } = await supabaseAdmin.auth.admin.generateLink({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/send-confirmation/route.ts,Line 48,supabase,// We use the action_link generated by Supabase because it properly verifies the token,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/send-confirmation/route.ts,Line 49,supabase,// on the Supabase backend and then redirects to the callback route with the necessary session info.,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/send-otp/route.ts,Line 13,.update(,return createHash('sha256').update(`${code}:${userId}:${purpose}`).digest('hex');,Unknown - review adjacent code,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 2,createClient,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 2,supabase,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 2,supabase,import { createClient } from '@supabase/supabase-js';,Supabase client initialization/import/reference,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 8,createClient,const supabaseAdmin = createClient(,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/send-reset/route.ts,Line 8,supabase,const supabaseAdmin = createClient(,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/api/auth/send-reset/route.ts,Line 9,NEXT_PUBLIC_SUPABASE_URL,"process.env.NEXT_PUBLIC_SUPABASE_URL!,",Supabase public client configuration name only,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 9,supabase,"process.env.NEXT_PUBLIC_SUPABASE_URL!,",Supabase public client configuration name only,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 10,supabase,process.env.SUPABASE_SERVICE_ROLE_KEY!,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 21,supabase,"const { data: linkData, error: linkError } = await supabaseAdmin.auth.admin.generateLink({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/send-reset/route.ts,Line 21,supabase.auth,"const { data: linkData, error: linkError } = await supabaseAdmin.auth.admin.generateLink({",Supabase Auth,Executable Supabase usage included in final map
src/app/api/auth/send-reset/route.ts,Line 30,supabase,// We use the action_link generated by Supabase.,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/send-reset/route.ts,Line 31,supabase,"// When the user clicks this, Supabase verifies the recovery token and generates",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/unlink-google/route.ts,Line 11,.update(,await prisma.user.update({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/auth/verify-otp/route.ts,Line 9,.update(,return createHash('sha256').update(`${code}:${userId}:${purpose}`).digest('hex');,Unknown - review adjacent code,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 4,supabase,// Supabase Database Webhook handler for auth.users,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 5,supabase,// Needs to be configured in Supabase Dashboard -> Database -> Webhooks,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 13,supabase,const webhookSecret = process.env.SUPABASE_WEBHOOK_SECRET;,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 28,supabase,"await userService.syncUserWithSupabase(id, email, name);",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 47,.update(,"await userService.update(id, updateData);",Unknown - review adjacent code,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 52,supabase,"await userService.syncUserWithSupabase(id, email || '', name);",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 58,supabase,// Delete user from Prisma if deleted from Supabase Auth,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 63,supabase,// Use prisma directly to avoid trying to delete from Supabase again,Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/auth/webhook/route.ts,Line 65,.delete(,await prisma.user.delete({ where: { id } });,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/auth/webhook/route.ts,Line 75,supabase,"console.error('[Webhook] Error processing Supabase webhook:', error);",Supabase reference; executable status traced separately,Occurrence retained for review
src/app/api/bank/[id]/route.ts,Line 37,.update(,"const updated = await prisma.bankAccount.update({ where: { id }, data: updateData });",Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/bank/[id]/route.ts,Line 134,.delete(,await prisma.bankAccount.delete({ where: { id } });,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/bank/route.ts,Line 136,.upsert(,const wallet = await prisma.cashWallet.upsert({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/bank/route.ts,Line 156,.upsert(,await prisma.cashWallet.upsert({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/bank/route.ts,Line 185,.update(,"account = await bankService.update(data.id, {",Unknown - review adjacent code,Occurrence retained for review
src/app/api/credentials/[id]/route.ts,Line 26,.delete(,await credentialService.delete(id);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/credentials/route.ts,Line 87,.update(,"record = await credentialService.update(data.id, {",Unknown - review adjacent code,Occurrence retained for review
src/app/api/din/records/[id]/route.ts,Line 54,.update(,const updated = await prisma.dinRecord.update({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/documents/route.ts,Line 61,.update(,await prisma.insurancePolicy.update({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/education/[id]/route.ts,Line 33,.update(,await prisma.documentMeta.update({,Prisma operation - not a Supabase client call,Excluded from final Supabase operation map; retained because the required generic pattern matched
src/app/api/education/[id]/route.ts,Line 96,.delete(,await educationService.delete(id);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/education/[id]/route.ts,Line 192,.update(,"const updatedRecord = await educationService.update(id, {",Unknown - review adjacent code,Occurrence retained for review
src/app/api/education/route.ts,Line 68,.delete(,educationCache.delete(authContext.userId);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/education/route.ts,Line 114,.delete(,educationCache.delete(authContext.userId);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/education/route.ts,Line 128,.delete(,await educationService.delete(id);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/expenses/[id]/route.ts,Line 20,.update(,"const updated = await expenseService.update(id, {",Unknown - review adjacent code,Occurrence retained for review
src/app/api/expenses/[id]/route.ts,Line 36,.delete(,await expenseService.delete(id);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/expenses/route.ts,Line 89,.update(,"expense = await expenseService.update(data.id, {",Unknown - review adjacent code,Occurrence retained for review
src/app/api/family/route.ts,Line 87,.delete(,familyCache.delete(authContext.userId);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/family/route.ts,Line 124,.update(,"member = await familyService.update(data.id, {",Unknown - review adjacent code,Occurrence retained for review
src/app/api/family/route.ts,Line 181,.delete(,familyCache.delete(authContext.userId);,Unknown - review adjacent code,Occurrence retained for review
src/app/api/family/route.ts,Line 237,.delete(,familyCache.delete(authContext.userId);,Unknown - review adjacent code,Occurrence retained for review
