Module,Module Status,Route,Page File,Layout File,Main Form Component,Main Display/List Component,Other Components,Hook / Store,Context Provider,API Route,Service File,Supabase Client File,Supabase Query Evidence,Tables Referenced,Fields Read / Written,Utility Functions,Validation Files,Calculation Files,Document Upload Connection,Reminder Connection,Dashboard Connection,Auth / Protected Route Connection,Shared Components,Related Modules,Duplicate / Old / Deprecated File Risk,Evidence / Code Reference,Confidence,Needs WD Verification,Notes
Kunji / Dwaar Credentials,Implemented,/dwaar/portals,src/app/(dashboard)/dwaar/portals/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,KeyChamberHub; KeyStabilityMeter; PortalCard,KeyStabilityMeter (src/components/credentials/KeyStabilityMeter.tsx); PortalCard (src/components/credentials/PortalCard.tsx); MasterPassphraseModal (src/components/credentials/MasterPassphraseModal.tsx); VideoTutorialPlaceholder (src/components/ui/VideoTutorialPlaceholder.tsx); PageGuide (src/components/ui/PageGuide.tsx),src/lib/credentialStore.ts; src/lib/identityStore.ts; src/lib/onboardingStore.ts,src/components/providers/AuthProvider.tsx,/api/credentials -> src/app/api/credentials/route.ts; /api/credentials/[id] -> src/app/api/credentials/[id]/route.ts; /api/identity -> src/app/api/identity/route.ts; /api/profile -> src/app/api/profile/route.ts; /api/family -> src/app/api/family/route.ts,src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/userService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser; src/app/api/profile/route.ts: supabase.auth Supabase Auth updateUser; src/lib/services/userService.ts: supabaseAdmin.auth.admin Supabase Auth admin getUserById; updateUserById; deleteUser,document_meta; users; credential_records; identity_records; family_members,Needs WD Verification - no direct field-map row found in traced files,src/lib/crypto.ts,src/lib/contactValidation.ts,None found in traced files,Probable,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/credentials/MasterPassphraseModal.tsx; src/components/ui/VideoTutorialPlaceholder.tsx; src/components/ui/PageGuide.tsx; src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Foundation contacts; Rajya; continuity workflows,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,src/app/(dashboard)/dwaar/portals/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/credentials/route.ts; src/app/api/credentials/[id]/route.ts; src/app/api/identity/route.ts; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/userService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; +5 more,Strong Evidence,Yes,Prior module-level assessment: Implemented. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Kunji / Dwaar Credentials,Implemented,/dwaar/portals/access,src/app/(dashboard)/dwaar/portals/access/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,AccessOverviewPage,None found in traced files,src/lib/credentialStore.ts; src/lib/identityStore.ts; src/lib/onboardingStore.ts,src/components/providers/AuthProvider.tsx,/api/profile -> src/app/api/profile/route.ts; /api/credentials -> src/app/api/credentials/route.ts; /api/credentials/[id] -> src/app/api/credentials/[id]/route.ts; /api/identity -> src/app/api/identity/route.ts; /api/family -> src/app/api/family/route.ts,src/lib/services/userService.ts; src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser; src/app/api/profile/route.ts: supabase.auth Supabase Auth updateUser; src/lib/services/userService.ts: supabaseAdmin.auth.admin Supabase Auth admin getUserById; updateUserById; deleteUser,document_meta; users; credential_records; identity_records; family_members,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,src/lib/contactValidation.ts,None found in traced files,Probable,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Foundation contacts; Rajya; continuity workflows,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,src/app/(dashboard)/dwaar/portals/access/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/profile/route.ts; src/app/api/credentials/route.ts; src/app/api/credentials/[id]/route.ts; src/app/api/identity/route.ts; src/app/api/family/route.ts; src/lib/services/userService.ts; src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; +5 more,Strong Evidence,Yes,Prior module-level assessment: Implemented. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Kunji / Dwaar Credentials,Implemented,/dwaar/portals/add,src/app/(dashboard)/dwaar/portals/add/page.tsx,src/app/(dashboard)/layout.tsx,AddPortalPage,AddPortalPage; OnboardingStore,MasterPassphraseModal (src/components/credentials/MasterPassphraseModal.tsx); VideoTutorialPlaceholder (src/components/ui/VideoTutorialPlaceholder.tsx),src/lib/credentialStore.ts; src/lib/identityStore.ts; src/lib/onboardingStore.ts,src/components/providers/AuthProvider.tsx,/api/profile -> src/app/api/profile/route.ts; /api/credentials -> src/app/api/credentials/route.ts; /api/credentials/[id] -> src/app/api/credentials/[id]/route.ts; /api/identity -> src/app/api/identity/route.ts; /api/family -> src/app/api/family/route.ts,src/lib/services/userService.ts; src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser; src/app/api/profile/route.ts: supabase.auth Supabase Auth updateUser; src/lib/services/userService.ts: supabaseAdmin.auth.admin Supabase Auth admin getUserById; updateUserById; deleteUser,document_meta; users; credential_records; identity_records; family_members; Not persisted to supplied database by this screen,Not persisted to supplied database by this screen.Not mapped,src/lib/crypto.ts,src/lib/contactValidation.ts,None found in traced files,Probable,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/credentials/MasterPassphraseModal.tsx; src/components/ui/VideoTutorialPlaceholder.tsx; src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Foundation contacts; Rajya; continuity workflows,"No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions. Static route-literal search found no reference outside the page file; dynamic navigation is possible, so linkage Needs WD Verification.",src/app/(dashboard)/dwaar/portals/add/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/profile/route.ts; src/app/api/credentials/route.ts; src/app/api/credentials/[id]/route.ts; src/app/api/identity/route.ts; src/app/api/family/route.ts; src/lib/services/userService.ts; src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; +6 more,Strong Evidence,Yes,Prior module-level assessment: Implemented. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Kunji / Dwaar Credentials,Implemented,/dwaar/portals/portal/[id],src/app/(dashboard)/dwaar/portals/portal/[id]/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,No distinct display/list component found in this route,MasterPassphraseModal (src/components/credentials/MasterPassphraseModal.tsx),src/lib/credentialStore.ts; src/lib/identityStore.ts; src/lib/onboardingStore.ts,src/components/providers/AuthProvider.tsx,/api/profile -> src/app/api/profile/route.ts; /api/credentials -> src/app/api/credentials/route.ts; /api/credentials/[id] -> src/app/api/credentials/[id]/route.ts; /api/identity -> src/app/api/identity/route.ts; /api/family -> src/app/api/family/route.ts,src/lib/services/userService.ts; src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser; src/app/api/profile/route.ts: supabase.auth Supabase Auth updateUser; src/lib/services/userService.ts: supabaseAdmin.auth.admin Supabase Auth admin getUserById; updateUserById; deleteUser,document_meta; users; credential_records; identity_records; family_members,Needs WD Verification - no direct field-map row found in traced files,src/lib/crypto.ts,src/lib/contactValidation.ts,None found in traced files,Probable,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/credentials/MasterPassphraseModal.tsx; src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Foundation contacts; Rajya; continuity workflows,"No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions. Static route-literal search found no reference outside the page file; dynamic navigation is possible, so linkage Needs WD Verification.",src/app/(dashboard)/dwaar/portals/portal/[id]/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/profile/route.ts; src/app/api/credentials/route.ts; src/app/api/credentials/[id]/route.ts; src/app/api/identity/route.ts; src/app/api/family/route.ts; src/lib/services/userService.ts; src/lib/services/credentialService.ts; src/lib/services/identityService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; +5 more,Strong Evidence,Yes,Prior module-level assessment: Implemented. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Lakshya / Goals,Placeholder,/lakshya,src/app/(dashboard)/lakshya/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,No distinct display/list component found in this route,None found in traced files,None found in traced files,src/components/providers/AuthProvider.tsx,None found in traced page/import chain,None found in traced files,No direct Supabase client import found in traced files,No direct .from/.select/.insert/.upsert/.update/.delete/.rpc/auth/storage evidence in traced files,goals (module-level dependency evidence; Needs WD Verification for this route),Needs WD Verification - no direct field-map row found in traced files,None found in traced files,None found in traced files,None found in traced files,No,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Beej; Rajya; Doot,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,src/app/(dashboard)/lakshya/page.tsx; src/app/(dashboard)/layout.tsx; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv,Probable,Yes,Prior module-level assessment: Placeholder page despite schema model. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Leakage / Subscriptions,Implemented,/leakage,src/app/(dashboard)/leakage/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,LeakageModulePage; BadgeCheck,None found in traced files,None found in traced files,src/components/providers/AuthProvider.tsx,/api/subscriptions -> src/app/api/subscriptions/route.ts,src/lib/services/subscriptionService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser,subscriptions; users,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,None found in traced files,src/lib/subscriptionMetrics.ts,No,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Vyaya; Khate; Rajya; Doot,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,src/app/(dashboard)/leakage/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/subscriptions/route.ts; src/lib/services/subscriptionService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; audit-input/02-existing-team-outputs/PM_MODULE_INVENTORY.csv; audit-input/02-existing-team-outputs/PM_SCREEN_INVENTORY.csv; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv,Strong Evidence,Yes,Prior module-level assessment: Implemented across overlapping subscription route families. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Leakage / Subscriptions,Implemented,/leakage/subscriptions,src/app/(dashboard)/leakage/subscriptions/page.tsx,src/app/(dashboard)/layout.tsx,formatRupee,SubscriptionsPage,TutorialCard (src/components/tutorials/TutorialCard.tsx),src/lib/stores/expenseStore.ts; src/lib/stores/incomeStore.ts,src/components/providers/AuthProvider.tsx,/api/expenses -> src/app/api/expenses/route.ts; /api/income -> src/app/api/income/route.ts; /api/income/[id] -> src/app/api/income/[id]/route.ts,src/lib/services/expenseService.ts; src/lib/services/incomeService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser,expense_entries; users; income_streams; Not persisted to subscriptions by this screen,Not persisted to subscriptions by this screen.Not mapped,None found in traced files,None found in traced files,None found in traced files,No,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/tutorials/TutorialCard.tsx; src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Vyaya; Khate; Rajya; Doot,"No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions. Static route-literal search found no reference outside the page file; dynamic navigation is possible, so linkage Needs WD Verification.",src/app/(dashboard)/leakage/subscriptions/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/expenses/route.ts; src/app/api/income/route.ts; src/app/api/income/[id]/route.ts; src/lib/services/expenseService.ts; src/lib/services/incomeService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; audit-input/02-existing-team-outputs/PM_MODULE_INVENTORY.csv; +2 more,Strong Evidence,Yes,Prior module-level assessment: Implemented across overlapping subscription route families. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Leakage / Subscriptions,Duplicate / Old Version,/subscriptions,src/app/(dashboard)/subscriptions/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,SubscriptionsModulePage,None found in traced files,None found in traced files,src/components/providers/AuthProvider.tsx,/api/subscriptions -> src/app/api/subscriptions/route.ts; /api/subscriptions/[id] -> src/app/api/subscriptions/[id]/route.ts,src/lib/services/subscriptionService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser,subscriptions; users,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,None found in traced files,src/lib/subscriptionMetrics.ts,No,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Vyaya; Khate; Rajya; Doot,Overlaps configured Leakage and /leakage/subscriptions route families; authoritative path needs WD verification.,src/app/(dashboard)/subscriptions/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/subscriptions/route.ts; src/app/api/subscriptions/[id]/route.ts; src/lib/services/subscriptionService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-output/01-repository-and-architecture/ARCHITECTURE_AND_COUPLING_RISKS.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; audit-input/02-existing-team-outputs/PM_MODULE_INVENTORY.csv; audit-input/02-existing-team-outputs/PM_SCREEN_INVENTORY.csv; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv,Strong Evidence,Yes,Prior module-level assessment: Implemented across overlapping subscription route families. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Mantri / Insights,Placeholder,/mantri,src/app/(dashboard)/mantri/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,No distinct display/list component found in this route,None found in traced files,None found in traced files,src/components/providers/AuthProvider.tsx,None found in traced page/import chain,None found in traced files,No direct Supabase client import found in traced files,No direct .from/.select/.insert/.upsert/.update/.delete/.rpc/auth/storage evidence in traced files,No confirmed table or API (module-level dependency evidence; Needs WD Verification for this route),Needs WD Verification - no direct field-map row found in traced files,None found in traced files,None found in traced files,None found in traced files,No,No,No,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,None confirmed,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,src/app/(dashboard)/mantri/page.tsx; src/app/(dashboard)/layout.tsx; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv,Probable,Yes,Prior module-level assessment: Coming Soon placeholder. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Mitra / Nominees and Will,Implemented,/mitra,src/app/(dashboard)/mitra/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,MitraModule,MicroLearningWrapper (src/components/module/MicroLearningWrapper.tsx); VideoTutorialPlaceholder (src/components/ui/VideoTutorialPlaceholder.tsx); ToastProvider (src/components/providers/ToastProvider.tsx),None found in traced files,src/components/providers/ToastProvider.tsx; src/components/providers/AuthProvider.tsx,/api/will -> src/app/api/will/route.ts,src/lib/services/willService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser,will_status; users,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,None found in traced files,None found in traced files,Probable,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/module/MicroLearningWrapper.tsx; src/components/ui/VideoTutorialPlaceholder.tsx; src/components/providers/ToastProvider.tsx; src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Foundation family; bank; insurance; property; investment; Succession; Rajya,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,src/app/(dashboard)/mitra/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/will/route.ts; src/lib/services/willService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; audit-input/02-existing-team-outputs/PM_MODULE_INVENTORY.csv; audit-input/02-existing-team-outputs/PM_SCREEN_INVENTORY.csv; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv,Strong Evidence,Yes,Prior module-level assessment: Implemented. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
Mitra / Nominees and Will,Implemented,/mitra/assets,src/app/(dashboard)/mitra/assets/page.tsx,src/app/(dashboard)/layout.tsx,No distinct form component found in this route,AssetNomineeDashboard,ToastProvider (src/components/providers/ToastProvider.tsx),None found in traced files,src/components/providers/ToastProvider.tsx; src/components/providers/AuthProvider.tsx,/api/nominee/assets -> src/app/api/nominee/assets/route.ts; /api/family -> src/app/api/family/route.ts; /api/nominee -> src/app/api/nominee/route.ts; /api/nominee/[id] -> src/app/api/nominee/[id]/route.ts,src/lib/services/familyService.ts; src/lib/services/nomineeService.ts; src/lib/services/baseService.ts,src/lib/supabase/server.ts,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser,nominee_mapping; insurance_policies; bank_accounts; property_assets; investment_holdings; users; family_members,nominee_mapping.assetRef; nominee_mapping.assetType; nominee_mapping.nomineeId; nominee_mapping.sharePercent; nominee_mapping.Not stored,None found in traced files,None found in traced files,None found in traced files,Probable,Probable,Probable,Yes - src/app/(dashboard)/layout.tsx and src/lib/supabase/middleware.ts,src/components/providers/ToastProvider.tsx; src/components/layouts/DashboardLayout.tsx; src/components/layouts/BottomNav.tsx; src/components/shared/AlertToast.tsx; src/components/shared/GlobalTopRightMenu.tsx; src/components/shared/AuthSync.tsx; src/components/layouts/DesktopSidebar.tsx; src/components/layouts/DesktopRightPanel.tsx; src/components/ui/UserAvatar.tsx; src/components/providers/AuthProvider.tsx,Foundation family; bank; insurance; property; investment; Succession; Rajya,"No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions. Static route-literal search found no reference outside the page file; dynamic navigation is possible, so linkage Needs WD Verification.",src/app/(dashboard)/mitra/assets/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/nominee/assets/route.ts; src/app/api/family/route.ts; src/app/api/nominee/route.ts; src/app/api/nominee/[id]/route.ts; src/lib/services/familyService.ts; src/lib/services/nomineeService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; +3 more,Strong Evidence,Yes,Prior module-level assessment: Implemented. This rebuilt row is route-level and does not treat prior Confirmed labels as human verification.
