Artifact_Type,File_Path,Component_or_Function,Module_Association,Consumers_or_Callers,Responsibility,Dependencies_or_Data,Reuse_or_Coupling_Observation,Confidence,Evidence
Storage service,src/lib/vault.ts,Vault,"Foundation; Pehchaan; Raksha; Rin; Bhoomi; Kar; Vault",13 page/component files,Primary older local vault with cloud options,IndexedDB/OPFS and Google Drive endpoints,Coexists with documentService Vault and localVaultEngine variants,Confirmed,"13 direct import consumers"
Storage service,src/lib/services/documentService.ts,Vault,Granthagaar,src/app/(dashboard)/granthagaar/page.tsx,Alternative local document vault,IndexedDB database,Same exported symbol and domain purpose as src/lib/vault.ts but different implementation,Confirmed,"Direct import in Granthagaar and source implementation"
Store family,src/lib/incomeStore.ts,IncomeStore,"Legacy Kosh; Vyaya; Rajya; Raksha; desktop shell",Legacy route files and components,Client income state and metrics,localStorage/in-memory client data,Parallel src/lib/stores/incomeStore.ts is used by configured Kosh and Suchak paths,Confirmed,"Import graph across both paths"
Store family,src/lib/stores/incomeStore.ts,IncomeStore,"Configured Kosh; Vyaya entry; Suchak; Sampatti",12 files,Newer client income state and formatting,localStorage/in-memory client data,Same export name as legacy store creates route-dependent state authority,Confirmed,"12 direct imports"
Store family,src/lib/expenseStore.ts,ExpenseStore,"Legacy Vyaya; Kosh disposable; Rajya",Legacy page files,Client expenses budget categories and subscriptions,localStorage/in-memory client data,Parallel src/lib/stores/expenseStore.ts used by Vyaya entry Leakage and Suchak,Confirmed,"Direct imports across both paths"
Store family,src/lib/stores/notificationStore.ts,NotificationStore,"Doot; Notifications; Raksha; Rin; Bhoomi; dashboard shell",13 files,Client notifications and subscriptions,browser storage/listeners,Coexists with Prisma-backed notificationService and reminderService,Confirmed,"13 direct imports"
Store family,src/lib/onboardingStore.ts,OnboardingStore,"Legacy Dwaar; Pehchaan doc detail; Rajya; shell",Legacy page and layout files,Older onboarding/profile client state,browser persistence,Parallel src/lib/stores/onboardingStore.ts is used by onboarding and Foundation,Confirmed,"Direct imports across both paths"
Store family,src/lib/stores/onboardingStore.ts,OnboardingStore,"Onboarding; Foundation; Pehchaan add; Suchak; AuthSync",13 files,Hydrated profile/onboarding state,/api/profile and browser persistence,Same export name as legacy store creates split state ownership,Confirmed,"13 direct imports"
Store,src/lib/stores/sampattiStore.ts,useSampattiStore,Sampatti,src/app/(dashboard)/sampatti/page.tsx,Zustand asset inventory state,localStorage persistence,No corresponding API consumer is present,Confirmed,"Direct page import and Zustand persist configuration"
Supabase client,src/lib/supabase/client.ts,createClient,All browser auth/storage consumers,16 source files,Creates browser Supabase client,"NEXT_PUBLIC_SUPABASE_URL; NEXT_PUBLIC_SUPABASE_ANON_KEY",Central browser auth and storage dependency,Confirmed,"16 direct imports"
Supabase client,src/lib/supabase/server.ts,createClient,Protected API and Google Drive/auth routes,8 source files,Creates cookie-aware server Supabase client,"NEXT_PUBLIC_SUPABASE_URL; NEXT_PUBLIC_SUPABASE_ANON_KEY; Next cookies",Central server session dependency,Confirmed,"Eight direct imports"
Supabase middleware,src/lib/supabase/middleware.ts,updateSession,All non-API matched routes,src/middleware.ts,Refreshes auth cookies and redirects protected/public routes,"supabase.auth.getUser; request/response cookies",Protection is split because src/middleware.ts excludes all /api routes,Confirmed,"updateSession and middleware matcher implementations"
