Usage ID,Module,Feature / Flow,Source File,Function / Component Name,Supabase Client File,Supabase Operation Type,Code Pattern Found,Table / Function / Bucket,Fields Read,Fields Written,Filters / Conditions Used,Insert / Update Payload Source,Delete Behaviour,RPC / Edge Function Name,Storage Bucket,Auth Usage,Error Handling Present,Loading State Present,Success Handling Present,Related Modules,Dashboard Impact,Reminder Impact,Document Vault Impact,Auth / Security Impact,Data Loss Risk,Calculation Risk,Shared Service Used,Direct Call or Service Layer,Duplicate Logic Risk,Hardcoded Table / Field Risk,RLS / Permission Risk,Evidence / Code Reference,Confidence,Needs WD Verification,Recommended Next Action,Notes
SBU-011,Authentication,Initialize Supabase client/session boundary,src/app/(auth)/verify-email/VerifyEmailClient.tsx,VerifyEmailClient,src/lib/supabase/client.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,No,Not applicable,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/(auth)/verify-email/VerifyEmailClient.tsx:18; VerifyEmailClient; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-012,Authentication,Resend email verification,src/app/(auth)/verify-email/VerifyEmailClient.tsx,handleResend,src/lib/supabase/client.ts,auth,supabase.auth.resend(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,verification-email request,Auth method conditions in caller; Needs WD Verification,"{ type: ""signup"", email: email.trim(), }",No delete operation in this usage,None,None,resend; user/session auth context,Yes,No,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,No duplicate operation found by static operation/resource grouping,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/verify-email/VerifyEmailClient.tsx:47; handleResend; supabase.auth.resend(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-013,Profile / Foundation,Initialize Supabase client/session boundary,src/app/(dashboard)/foundation/page.tsx,FoundationHub,src/lib/supabase/client.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Partial,No,Not applicable,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/(dashboard)/foundation/page.tsx:53; FoundationHub; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-014,Profile / Foundation,Resolve authenticated user,src/app/(dashboard)/foundation/page.tsx,fetchProfile,src/lib/supabase/client.ts,auth,supabase.auth.getUser(...),Supabase Auth,authenticated user and user metadata,None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getUser; user/session auth context,Yes,No,Partial,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 7 similar usages across 6 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(dashboard)/foundation/page.tsx:114; fetchProfile; supabase.auth.getUser(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-015,Profile / Foundation,Profile photo storage,src/app/(dashboard)/foundation/page.tsx,fetchProfile,src/lib/supabase/client.ts,storage-upload,"supabase.storage.from(""profile-photos"").upload(...)",storage bucket: profile-photos,None identified,storage object path and file bytes/options,"Bucket profile-photos; object/path argument filePath, file","filePath, file",No delete operation in this usage,None,profile-photos,None,Yes,No,Partial,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,High - authenticated bucket access and object ownership policy,Medium,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,No duplicate operation found by static operation/resource grouping,Yes - literal resource name profile-photos is embedded in code,Supplied storage policy checks authenticated role but no per-user object ownership condition is visible - Needs Himanshu Verification,"src/app/(dashboard)/foundation/page.tsx:121; fetchProfile; supabase.storage.from(""profile-photos"").upload(...); No direct Supabase public-table query in this usage; Bucket profile-photos appears in SUPABASE_STORAGE_BUCKETS.csv",Strong Evidence,Yes,"Verify bucket RLS, per-user object paths, metadata creation, failure cleanup and delete rollback with dummy files",Static source evidence only. No direct Supabase public-table query in this usage. Bucket profile-photos appears in SUPABASE_STORAGE_BUCKETS.csv. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-016,Profile / Foundation,Profile photo storage,src/app/(dashboard)/foundation/page.tsx,fetchProfile,src/lib/supabase/client.ts,storage-download,"supabase.storage.from(""profile-photos"").getPublicUrl(...)",storage bucket: profile-photos,storage object path and returned URL/object metadata,None identified,Bucket profile-photos; object/path argument filePath,Not applicable,No delete operation in this usage,None,profile-photos,None,Yes,No,Partial,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,High - authenticated bucket access and object ownership policy,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,No duplicate operation found by static operation/resource grouping,Yes - literal resource name profile-photos is embedded in code,Supplied storage policy checks authenticated role but no per-user object ownership condition is visible - Needs Himanshu Verification,"src/app/(dashboard)/foundation/page.tsx:127; fetchProfile; supabase.storage.from(""profile-photos"").getPublicUrl(...); No direct Supabase public-table query in this usage; Bucket profile-photos appears in SUPABASE_STORAGE_BUCKETS.csv",Strong Evidence,Yes,"Verify bucket RLS, per-user object paths, metadata creation, failure cleanup and delete rollback with dummy files",Static source evidence only. No direct Supabase public-table query in this usage. Bucket profile-photos appears in SUPABASE_STORAGE_BUCKETS.csv. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-017,Profile / Foundation,Update Supabase Auth user metadata or password,src/app/(dashboard)/foundation/page.tsx,fetchProfile,src/lib/supabase/client.ts,auth,supabase.auth.updateUser(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,password or user metadata supplied by caller,Auth method conditions in caller; Needs WD Verification,{ data: { profile_photo: publicUrl } },No delete operation in this usage,None,None,updateUser; user/session auth context,Yes,No,Partial,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,"High - session, credential, redirect or user lifecycle behavior",Medium,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 5 similar usages across 4 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(dashboard)/foundation/page.tsx:133; fetchProfile; supabase.auth.updateUser(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-018,Profile / Foundation,Remove previous profile photo,src/app/(dashboard)/foundation/page.tsx,fetchProfile,src/lib/supabase/client.ts,storage-delete,"supabase.storage.from(""profile-photos"").remove(...)",storage bucket: profile-photos,None identified,None identified,Bucket profile-photos; object/path argument [fileName],Not applicable,Deletes storage object path(s): [fileName]; metadata/rollback cleanup Needs WD Verification,None,profile-photos,None,Yes,No,Yes,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,High - authenticated bucket access and object ownership policy,High,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,No duplicate operation found by static operation/resource grouping,Yes - literal resource name profile-photos is embedded in code,Supplied storage policy checks authenticated role but no per-user object ownership condition is visible - Needs Himanshu Verification,"src/app/(dashboard)/foundation/page.tsx:158; fetchProfile; supabase.storage.from(""profile-photos"").remove(...); No direct Supabase public-table query in this usage; Bucket profile-photos appears in SUPABASE_STORAGE_BUCKETS.csv",Strong Evidence,Yes,"Verify bucket RLS, per-user object paths, metadata creation, failure cleanup and delete rollback with dummy files",Static source evidence only. No direct Supabase public-table query in this usage. Bucket profile-photos appears in SUPABASE_STORAGE_BUCKETS.csv. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-019,Profile / Foundation,Update Supabase Auth user metadata or password,src/app/(dashboard)/foundation/page.tsx,fetchProfile,src/lib/supabase/client.ts,auth,supabase.auth.updateUser(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,password or user metadata supplied by caller,Auth method conditions in caller; Needs WD Verification,{ data: { profile_photo: null } },No delete operation in this usage,None,None,updateUser; user/session auth context,Yes,No,Yes,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,"High - session, credential, redirect or user lifecycle behavior",Medium,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 5 similar usages across 4 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(dashboard)/foundation/page.tsx:164; fetchProfile; supabase.auth.updateUser(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-020,Public Website / Landing,Initialize Supabase client/session boundary,src/app/(landing)/forget-password/page.tsx,ForgotPasswordPage,src/lib/supabase/client.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,Yes,Yes,Lakshya; Mitra; Succession; Rajya,Probable,Probable,No,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/(landing)/forget-password/page.tsx:15; ForgotPasswordPage; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-021,Public Website / Landing,Request password recovery,src/app/(landing)/forget-password/page.tsx,handleSubmit,src/lib/supabase/client.ts,auth,supabase.auth.resetPasswordForEmail(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,password-recovery email request,Auth method conditions in caller; Needs WD Verification,"trimmedEmail, { redirectTo: `${window.location.origin}/auth/reset-password`, }",No delete operation in this usage,None,None,resetPasswordForEmail; user/session auth context,Yes,Yes,Yes,Lakshya; Mitra; Succession; Rajya,Probable,Probable,No,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,No duplicate operation found by static operation/resource grouping,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(landing)/forget-password/page.tsx:42; handleSubmit; supabase.auth.resetPasswordForEmail(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-022,Onboarding,Initialize Supabase client/session boundary,src/app/(onboarding)/onboarding/firstwin/page.tsx,handleGoToDashboard,src/lib/supabase/client.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Partial,Yes,Yes,Needs WD Verification,Needs WD Verification,No,Needs WD Verification,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/(onboarding)/onboarding/firstwin/page.tsx:88; handleGoToDashboard; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-023,Onboarding,Update Supabase Auth user metadata or password,src/app/(onboarding)/onboarding/firstwin/page.tsx,handleGoToDashboard,src/lib/supabase/client.ts,auth,supabase.auth.updateUser(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,password or user metadata supplied by caller,Auth method conditions in caller; Needs WD Verification,{ data: { onboarding_completed: true } },No delete operation in this usage,None,None,updateUser; user/session auth context,Partial,Yes,Yes,Needs WD Verification,Needs WD Verification,No,Needs WD Verification,"High - session, credential, redirect or user lifecycle behavior",Medium,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 5 similar usages across 4 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(onboarding)/onboarding/firstwin/page.tsx:89; handleGoToDashboard; supabase.auth.updateUser(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
