Map_ID,Module,Screen_or_Form,Visible_Label,Form_Variable,Component_File,Service_API_Store,Database_Table,Database_Column,Mapping_Type,Evidence,Confidence,Verification_Status
FDB-040,Kosh,Add income source (configured route),Expected Growth,expectedGrowth,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
FDB-041,Vyaya,Expense API contract,Date,date,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,date,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-042,Vyaya,Expense API contract,Amount,amount,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,amount,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-043,Vyaya,Expense API contract,Category,category,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,category,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-044,Vyaya,Expense API contract,Payment Mode,mode,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,mode,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-045,Vyaya,Expense API contract,Account,accountId,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,accountId,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-046,Vyaya,Expense API contract,Description,description,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,description,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-047,Vyaya,Expense API contract,Recurring,isRecurring,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,isRecurring,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-048,Vyaya,Expense API contract,Frequency,frequency,src/app/(dashboard)/vyaya/add/page.tsx,/api/expenses -> expenseService,expense_entries,frequency,Direct,src/app/(dashboard)/vyaya/add/page.tsx; /api/expenses -> expenseService; prisma/schema.prisma,Strong Evidence,Needs WD Verification: configured /vyaya/entry/add route uses a parallel browser store
FDB-049,Pravah / Khate,Add bank account,Bank Name,bankName,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,bankName,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-050,Pravah / Khate,Add bank account,Account Type,accountType,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,accountType,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-051,Pravah / Khate,Add bank account,Account Last 4 Digits,accountLast4,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,accountLast4,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-052,Pravah / Khate,Add bank account,IFSC,ifsc,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,ifsc,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-053,Pravah / Khate,Add bank account,Nickname,nickname,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,nickname,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-054,Pravah / Khate,Add bank account,Current Balance,currentBalance,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,currentBalance,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-055,Pravah / Khate,Add bank account,Balance As Of,latestBalanceAsOf,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,latestBalanceAsOf,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-056,Pravah / Khate,Add bank account,Primary account,isPrimary,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,isPrimary,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-057,Pravah / Khate,Add bank account,Notes,notes,src/app/(dashboard)/khate/accounts/add/page.tsx,bankApi -> /api/bank -> bankService,bank_accounts,notes,Direct,src/app/(dashboard)/khate/accounts/add/page.tsx; bankApi -> /api/bank -> bankService; prisma/schema.prisma,Strong Evidence,Needs human verification against running UI and current deployment
FDB-058,Raksha,Add insurance policy,Policy Type,formData.type,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,type,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-059,Raksha,Add insurance policy,Policy Number,formData.policyNumber,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,policyNumber,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-060,Raksha,Add insurance policy,Insurer Name,formData.insurerName,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,insurerName,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-061,Raksha,Add insurance policy,Sum Assured,formData.sumAssured,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,sumAssured,Transformed,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-062,Raksha,Add insurance policy,Premium Amount,formData.premium,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,premium,Transformed,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-063,Raksha,Add insurance policy,Premium Frequency,formData.premiumFrequency,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,premiumFrequency,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-064,Raksha,Add insurance policy,Next Due Date,formData.dueDate,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,dueDate,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-065,Raksha,Add insurance policy,Maturity Date,formData.maturityDate,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,maturityDate,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-066,Raksha,Add insurance policy,Primary Nominee,formData.nomineeId,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,nomineeId,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-067,Raksha,Add insurance policy,Policy document,formData.documentId,src/app/(dashboard)/raksha/policies/add/page.tsx,/api/insurance -> insuranceService,insurance_policies,documentId,Direct,src/app/(dashboard)/raksha/policies/add/page.tsx; /api/insurance -> insuranceService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-068,Rin,Add loan,Loan Type,formData.type,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,type,Direct,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-069,Rin,Add loan,Lender / Bank Name,formData.lenderName,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,lenderName,Direct,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-070,Rin,Add loan,Principal Amount,formData.principal,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,principal,Transformed,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-071,Rin,Add loan,Outstanding Amount,formData.outstandingAmount,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,outstandingAmount,Transformed,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-072,Rin,Add loan,Monthly EMI,formData.emi,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,emi,Transformed,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-073,Rin,Add loan,Interest Rate,formData.interestRate,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,interestRate,Transformed,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-074,Rin,Add loan,Tenure,formData.tenure,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,tenure,Transformed,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-075,Rin,Add loan,Start Date,formData.startDate,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,startDate,Direct,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-076,Rin,Add loan,End Date,formData.endDate,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,endDate,Direct,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-077,Rin,Add loan,Linked Property,formData.linkedPropertyId,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,linkedPropertyId,Direct,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-078,Rin,Add loan,Loan document,formData.documentId,src/app/(dashboard)/rin/loans/add/page.tsx,/api/loans -> loanService,loan_accounts,documentId,Direct,src/app/(dashboard)/rin/loans/add/page.tsx; /api/loans -> loanService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-079,Bhoomi,Add property,Property title,propertyTitle -> service propertyTitle -> address,src/app/(dashboard)/bhoomi/add/page.tsx,/api/bhoomi/properties -> bhoomiService,property_assets,address,Renamed,src/app/(dashboard)/bhoomi/add/page.tsx; /api/bhoomi/properties -> bhoomiService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-080,Bhoomi,Add property,Property type,propertyType -> type,src/app/(dashboard)/bhoomi/add/page.tsx,/api/bhoomi/properties -> bhoomiService,property_assets,type,Renamed,src/app/(dashboard)/bhoomi/add/page.tsx; /api/bhoomi/properties -> bhoomiService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-081,Bhoomi,Add property,Ownership,ownershipType,src/app/(dashboard)/bhoomi/add/page.tsx,/api/bhoomi/properties -> bhoomiService,property_assets,ownershipType,Direct,src/app/(dashboard)/bhoomi/add/page.tsx; /api/bhoomi/properties -> bhoomiService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
