Relationship_ID,Constraint_Name,Child_Schema,Child_Table,Child_Column,Parent_Schema,Parent_Table,Parent_Column,Cardinality,On_Delete,On_Update,Child_Module,Parent_Module,Code_Usage_Evidence,Business_Relationship,Impact_If_Parent_Edited_or_Deleted,Confidence,Verification_Status
FK-011,cash_wallets_userId_fkey,public,cash_wallets,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Pravah / Khate,Sthapana / Foundation and Auth,src/app/api/bank/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,cash_wallets.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-012,consent_records_userId_fkey,public,consent_records,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,consent_records.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-013,credential_records_userId_fkey,public,credential_records,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Kunji / Dwaar,Sthapana / Foundation and Auth,src/lib/services/credentialService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,credential_records.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-014,data_access_logs_adminUserId_fkey,public,data_access_logs,adminUserId,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,data_access_logs.adminUserId references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-015,data_access_logs_userId_fkey,public,data_access_logs,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,data_access_logs.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-016,din_records_userId_fkey,public,din_records,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Kar,Sthapana / Foundation and Auth,src/app/api/din/records/[id]/route.ts; src/app/api/din/records/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,din_records.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-017,document_meta_userId_fkey,public,document_meta,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Cross-module document metadata,Sthapana / Foundation and Auth,src/app/api/documents/route.ts; src/app/api/education/[id]/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,document_meta.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-018,education_familyMemberId_fkey,public,education,familyMemberId,public,family_members,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Sthapana / Foundation,Sthapana / Foundation,src/lib/services/educationService.ts; src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts,education.familyMemberId references family_members.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-019,education_userId_fkey,public,education,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Sthapana / Foundation,Sthapana / Foundation and Auth,src/lib/services/educationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,education.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-020,email_verification_codes_userId_fkey,public,email_verification_codes,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Auth,Sthapana / Foundation and Auth,src/app/api/auth/send-otp/route.ts; src/app/api/auth/verify-otp/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,email_verification_codes.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-021,expense_categories_userId_fkey,public,expense_categories,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Vyaya,Sthapana / Foundation and Auth,src/lib/services/expenseCategoryService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,expense_categories.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-022,expense_entries_userId_fkey,public,expense_entries,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Vyaya,Sthapana / Foundation and Auth,src/lib/services/expenseService.ts; src/lib/services/notificationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,expense_entries.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-023,family_members_userId_fkey,public,family_members,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Sthapana / Foundation,Sthapana / Foundation and Auth,src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,family_members.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-024,feature_flags_createdBy_fkey,public,feature_flags,createdBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,feature_flags.createdBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-025,feature_flags_dependsOnFlagId_fkey,public,feature_flags,dependsOnFlagId,public,feature_flags,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,feature_flags.dependsOnFlagId references feature_flags.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-026,game_runs_userId_fkey,public,game_runs,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Gamification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,game_runs.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-027,gamification_state_userId_fkey,public,gamification_state,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Gamification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,gamification_state.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-028,goals_userId_fkey,public,goals,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Lakshya,Sthapana / Foundation and Auth,src/lib/services/notificationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,goals.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-029,gst_records_userId_fkey,public,gst_records,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Kar,Sthapana / Foundation and Auth,src/app/api/gst/records/[id]/route.ts; src/app/api/gst/records/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,gst_records.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-030,identity_links_identityId_fkey,public,identity_links,identityId,public,identity_records,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Pehchaan,Pehchaan,src/app/api/identity/links/route.ts; src/lib/services/identityService.ts; src/lib/services/notificationService.ts,identity_links.identityId references identity_records.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-031,identity_links_userId_fkey,public,identity_links,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Pehchaan,Sthapana / Foundation and Auth,src/app/api/identity/links/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,identity_links.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-032,identity_records_userId_fkey,public,identity_records,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Pehchaan,Sthapana / Foundation and Auth,src/lib/services/identityService.ts; src/lib/services/notificationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,identity_records.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-033,income_streams_creditedAccountId_fkey,public,income_streams,creditedAccountId,public,bank_accounts,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Kosh,Pravah / Khate,src/lib/services/incomeService.ts; src/lib/services/notificationService.ts; src/app/api/bank/[id]/route.ts; src/app/api/nominee/assets/route.ts,income_streams.creditedAccountId references bank_accounts.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-034,income_streams_familyMemberId_fkey,public,income_streams,familyMemberId,public,family_members,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Kosh,Sthapana / Foundation,src/lib/services/incomeService.ts; src/lib/services/notificationService.ts; src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts,income_streams.familyMemberId references family_members.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-035,income_streams_userId_fkey,public,income_streams,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Kosh,Sthapana / Foundation and Auth,src/lib/services/incomeService.ts; src/lib/services/notificationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,income_streams.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-036,insurance_coverage_memberId_fkey,public,insurance_coverage,memberId,public,family_members,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Raksha,Sthapana / Foundation,src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts,insurance_coverage.memberId references family_members.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-037,insurance_coverage_policyId_fkey,public,insurance_coverage,policyId,public,insurance_policies,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Raksha,Raksha,src/app/api/documents/route.ts; src/app/api/nominee/assets/route.ts,insurance_coverage.policyId references insurance_policies.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-038,insurance_policies_userId_fkey,public,insurance_policies,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Raksha,Sthapana / Foundation and Auth,src/app/api/documents/route.ts; src/app/api/nominee/assets/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,insurance_policies.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-039,investment_holdings_linkedGoalId_fkey,public,investment_holdings,linkedGoalId,public,goals,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Beej,Lakshya,src/app/api/nominee/assets/route.ts; src/app/api/succession/assets/route.ts; src/lib/services/notificationService.ts,investment_holdings.linkedGoalId references goals.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-040,investment_holdings_userId_fkey,public,investment_holdings,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Beej,Sthapana / Foundation and Auth,src/app/api/nominee/assets/route.ts; src/app/api/succession/assets/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,investment_holdings.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-041,loan_accounts_userId_fkey,public,loan_accounts,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Rin,Sthapana / Foundation and Auth,src/lib/services/loanService.ts; src/lib/services/notificationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,loan_accounts.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-042,module_access_permissions_adminUserId_fkey,public,module_access_permissions,adminUserId,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,module_access_permissions.adminUserId references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-043,modules_updatedBy_fkey,public,modules,updatedBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,modules.updatedBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-044,nominee_mapping_nomineeId_fkey,public,nominee_mapping,nomineeId,public,family_members,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Mitra,Sthapana / Foundation,src/app/api/nominee/assets/route.ts; src/lib/services/nomineeService.ts; src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts,nominee_mapping.nomineeId references family_members.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-045,nominee_mapping_userId_fkey,public,nominee_mapping,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Mitra,Sthapana / Foundation and Auth,src/app/api/nominee/assets/route.ts; src/lib/services/nomineeService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,nominee_mapping.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-046,notifications_templateId_fkey,public,notifications,templateId,public,notification_templates,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Doot / Notifications,Admin / Notifications,src/lib/services/notificationService.ts,notifications.templateId references notification_templates.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-047,notifications_userId_fkey,public,notifications,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Doot / Notifications,Sthapana / Foundation and Auth,src/lib/services/notificationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,notifications.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-048,property_assets_userId_fkey,public,property_assets,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Bhoomi,Sthapana / Foundation and Auth,src/app/api/nominee/assets/route.ts; src/app/api/succession/assets/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,property_assets.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-049,questions_createdBy_fkey,public,questions,createdBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,questions.createdBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-050,questions_fieldMappingId_fkey,public,questions,fieldMappingId,public,field_mappings,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,questions.fieldMappingId references field_mappings.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-051,questions_submoduleId_fkey,public,questions,submoduleId,public,submodules,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,questions.submoduleId references submodules.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-052,quiz_answers_questionId_fkey,public,quiz_answers,questionId,public,questions,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,quiz_answers.questionId references questions.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-053,quiz_answers_userId_fkey,public,quiz_answers,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,quiz_answers.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
