Schema,Table,Table_Type,Column_Count,Primary_Key,Outgoing_FK_Count,Incoming_FK_Count,Prisma_Model,Observed_Code_Usage,Proposed_Module_Owner,Ownership_Evidence,Other_Module_Dependencies,RLS_Evidence,Trigger_or_Function_Evidence,Data_Sensitivity,Usage_Status,Confidence,Verification_Status
public,calculation_parameter_history,BASE TABLE,8,id,2,0,CalculationParameterHistory,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,calculation_parameters,BASE TABLE,9,id,0,1,CalculationParameter,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,cash_wallets,BASE TABLE,7,id,1,0,CashWallet,src/app/api/bank/route.ts,Pravah / Khate,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,cohorts,BASE TABLE,12,id,0,1,Cohort,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,consent_records,BASE TABLE,9,id,1,0,ConsentRecord,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,contact_messages,BASE TABLE,7,id,0,0,ContactMessage,src/app/api/contact/route.ts,Contact / Support,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,credential_records,BASE TABLE,18,id,1,0,CredentialRecord,src/lib/services/credentialService.ts,Kunji / Dwaar,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Strong Evidence,Needs WD Verification
public,daily_analytics,BASE TABLE,12,id,0,0,DailyAnalytics,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Analytics,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,data_access_logs,BASE TABLE,8,id,2,0,DataAccessLog,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,din_records,BASE TABLE,15,id,1,0,DinRecord,src/app/api/din/records/[id]/route.ts; src/app/api/din/records/route.ts; src/lib/services/dinService.ts,Kar,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,document_meta,BASE TABLE,19,id,1,0,DocumentMeta,src/app/api/documents/route.ts; src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts; src/app/api/identity/route.ts; src/lib/googleDriveUtils.ts,Cross-module document metadata,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,education,BASE TABLE,10,id,2,0,Education,src/lib/services/educationService.ts,Sthapana / Foundation,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,email_verification_codes,BASE TABLE,6,id,1,0,EmailVerificationCode,src/app/api/auth/send-otp/route.ts; src/app/api/auth/verify-otp/route.ts,Auth,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,expense_categories,BASE TABLE,6,id,1,0,ExpenseCategory,src/lib/services/expenseCategoryService.ts,Vyaya,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,expense_entries,BASE TABLE,13,id,1,0,ExpenseEntry,src/lib/services/expenseService.ts; src/lib/services/notificationService.ts,Vyaya,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,family_members,BASE TABLE,12,id,1,5,FamilyMember,src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts; src/app/api/insurance/[id]/route.ts; src/app/api/loans/[id]/route.ts; src/lib/services/familyService.ts,Sthapana / Foundation,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth; Sthapana / Foundation; Kosh; Raksha; Mitra; Uttaradhikar Sabha / Succession,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,faqs,BASE TABLE,13,id,0,0,FAQ,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,feature_flags,BASE TABLE,14,id,2,1,FeatureFlag,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,field_mappings,BASE TABLE,7,id,0,1,FieldMapping,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,game_runs,BASE TABLE,9,id,1,0,GameRun,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Gamification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Probable,Needs WD Verification
public,gamification_state,BASE TABLE,10,id,1,0,GamificationState,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Gamification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Probable,Needs WD Verification
public,goals,BASE TABLE,11,id,1,1,Goal,src/lib/services/notificationService.ts,Lakshya,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth; Beej,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Probable,Needs WD Verification
public,gst_records,BASE TABLE,16,id,1,0,GstRecord,src/app/api/gst/records/[id]/route.ts; src/app/api/gst/records/route.ts; src/lib/services/gstService.ts,Kar,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,identity_links,BASE TABLE,7,id,2,0,IdentityLink,src/app/api/identity/links/route.ts,Pehchaan,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Pehchaan; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,identity_records,BASE TABLE,14,id,1,1,IdentityRecord,src/lib/services/identityService.ts; src/lib/services/notificationService.ts,Pehchaan,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth; Pehchaan,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,iks_assets,BASE TABLE,10,id,0,0,IKSAsset,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,income_streams,BASE TABLE,21,id,3,0,IncomeStream,src/lib/services/incomeService.ts; src/lib/services/notificationService.ts,Kosh,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Pravah / Khate; Sthapana / Foundation; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,insurance_coverage,BASE TABLE,3,id,2,0,InsuranceCoverage,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Raksha,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation; Raksha,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Strong Evidence,Needs WD Verification
public,insurance_policies,BASE TABLE,17,id,1,1,InsurancePolicy,src/app/api/documents/route.ts; src/app/api/nominee/assets/route.ts; src/app/api/succession/assets/route.ts; src/lib/services/insuranceService.ts; src/lib/services/notificationService.ts,Raksha,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth; Raksha,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,investment_holdings,BASE TABLE,12,id,2,0,InvestmentHolding,src/app/api/nominee/assets/route.ts; src/app/api/succession/assets/route.ts,Beej,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Lakshya; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Probable,Needs WD Verification
public,loan_accounts,BASE TABLE,18,id,1,0,LoanAccount,src/lib/services/loanService.ts; src/lib/services/notificationService.ts,Rin,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,module_access_permissions,BASE TABLE,6,id,1,0,ModuleAccessPermission,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,modules,BASE TABLE,14,id,1,2,Module,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,monthly_analytics,BASE TABLE,9,id,0,0,MonthlyAnalytics,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Analytics,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,nominee_mapping,BASE TABLE,10,id,2,0,NomineeMapping,src/app/api/nominee/assets/route.ts; src/lib/services/nomineeService.ts,Mitra,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,notification_templates,BASE TABLE,11,id,0,1,NotificationTemplate,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / Notifications,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Doot / Notifications,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Probable,Needs WD Verification
public,notifications,BASE TABLE,13,id,2,0,Notification,src/lib/services/notificationService.ts,Doot / Notifications,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Admin / Notifications; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Strong Evidence,Needs WD Verification
